hgnc	uniprot_id
ABCG8	Q9H221
ACCSL	Q4AC99
ACTL7A	Q9Y615
ACTL7B	Q9Y614
ACTL9	Q8TC94
ACTRT1	Q8TDG2
ADAD1	Q96M93
ADAM18	Q9Y3Q7
ADAM2	Q99965
ADAM20	O43506
ADAM30	Q9UKF2
ADH7	P40394
AFM	P43652
AICDA	Q9GZX7
AIPL1	Q9NZN9
ALPI	P09923
ALPG	P10696
ALX3	O95076
AMELX	Q99217
ANKRD30A	Q9BXX3
ANKRD60	Q9BZ19
ANTXRL	A6NF34
APOA4	P06727
APOBEC1	P41238
APOF	Q13790
AQP12A	Q8IXF9
AQP8	O94778
ARGFX	A6NJG6
ART1	P52961
ASB17	Q8WXJ9
ASIC5	Q9NY37
ASZ1	Q8WWH4
ATOH1	Q92858
ATP4B	P51164
ATP6V1G3	Q96LB4
AWAT1	Q58HT5
AWAT2	Q6E213
B3GNT6	Q6ZMB0
BANF2	Q9H503
BARHL1	Q9BZE3
BEND2	Q8NDZ0
BHLHE23	Q8NDY6
BIRC8	Q96P09
BMP10	O95393
BMP15	O95972
BPIFA1	Q9NP55
BPIFA3	Q9BQP9
BPIFB3	P59826
BPIFB6	Q8NFQ5
BPIFC	Q8NFQ6
BPY2	O14599
BRDT	Q58F21
BSND	Q8WZ55
C10orf113	Q5VZT2
C10orf120	Q5SQS8
C10orf53	Q8N6V4
C11orf40	Q8WZ69
C12orf40	Q86WS4
NUTM1	Q86Y26
C16orf78	Q8WTQ4
C17orf78	Q8N4C9
DYNAP	Q8N1N2
TEX45	Q8NA69
C20orf173	Q96LM9
C20orf203	Q8NBC4
SCP2D1	Q9UJQ7
TEX44	Q53QW1
STPG4	Q8N801
PCARE	A6NGG8
C2orf83	Q53S99
PRR27	Q6MZM9
DCANP1	Q8TF63
TSBP1	Q5SRN2
C8A	P07357
C8B	P07358
C8orf86	Q6ZUL3
CABP2	Q9NPB3
CABP5	Q9NP86
CABS1	Q96KC9
CACNG2	Q9Y698
CACNG3	O60359
CACNG5	Q9UF02
CATSPER4	Q7RTX7
CCDC172	P0C7W6
CCDC83	Q8IWF9
CCKAR	P32238
CCL1	P22362
CCT8L2	Q96SF2
CD200R1L	Q6Q8B3
CDCP2	Q5VXM1
CDX2	Q99626
CDX4	O14627
CDY1	Q9Y6F8
CDY2A	Q9Y6F7
CEACAM7	Q14002
CELA2A	P08217
CELA3A	P09093
CELA3B	P08861
CER1	O95813
CETN1	Q12798
CFHR2	P36980
CFHR5	Q9BXR6
CHAT	P28329
CHRNA6	Q15825
CHRNB3	Q05901
CLCA1	A8K7I4
CLDN17	P56750
CLEC2A	Q6UVW9
CLEC3A	O75596
CLEC6A	Q6EIG7
CLRN1	P58418
CNBD1	Q8NA66
CNGA2	Q16280
CNGB3	Q9NQW8
CNPY1	Q3B7I2
CNTNAP5	Q8WYK1
COL20A1	Q9P218
COX7B2	Q8TF08
CPXCR1	Q8N123
CRNN	Q9UBG3
CRX	O43186
CRYGB	P07316
CSH1	P0DML2
CSHL1	Q14406
CSN2	P05814
CSN3	P07498
CST11	Q9H112
CST4	P01036
CST5	P28325
CST8	O60676
CST9	Q5W186
CST9L	Q9H4G1
CSTL1	Q9H114
CT45A2	Q5DJT8
CT45A3	Q8NHU0
CT45A5	P0DMU8
CTCFL	Q8NI51
CTRB1	P17538
SLITRK2	Q9H156
CXorf66	Q5JRM2
CYLC2	Q14093
CYP11B1	P15538
CYP11B2	P19099
CYP26C1	Q6V0L0
CYP2A13	Q16696
CYP2C19	P33261
CYP4A22	Q5TCH4
CYP4F8	P98187
CYP7A1	P22680
DAZ1	Q9NQZ3
DAZ2	Q13117
DAZ3	Q9NR90
DAZ4	Q86SG3
DAZL	Q92904
DCAF4L2	Q8NA75
DCAF8L1	A6NGE4
DDI1	Q8WTU0
DDX4	Q9NQI0
DEFA5	Q01523
DEFA6	Q01524
DEFB104A	Q8WTQ1
DEFB106A	Q8N104
DEFB107A	Q8IZN7
DEFB118	Q96PH6
DEFB123	Q8N688
DEFB126	Q9BYW3
DEFB127	Q9H1M4
DEFB129	Q9H1M3
DGAT2L6	Q6ZPD8
DGKK	Q5KSL6
DIRC1	Q969H9
DMP1	Q13316
DMRT1	Q9Y5R6
DMRTB1	Q96MA1
DMRTC2	Q8IXT2
MUCL3	Q3MIW9
DPRX	A6NFQ7
DRD3	P35462
DRGX	A6NNA5
DSG4	Q86SJ6
DSPP	Q9NZW4
DTX2	Q86UW9
DUSP21	Q9H596
DUX4	Q9UBX2
DUXA	A6NLW8
EFCAB3	Q8N7B9
EGR4	Q05215
ENTHD1	Q8IYW4
ESX1	Q8N693
EVX1	P49640
F13B	P05160
F9	P00740
FABP2	P12104
FAM106A	Q4KMX7
FAM47A	Q5JRC9
FAM47B	Q8NA70
FAM47C	Q5HY64
FAM71A	Q8IYT1
FAM71B	Q8TC56
FAM71C	Q8NEG0
SPATA31A7	Q8IWB4
SPATA31D1	Q6ZQQ2
FCRL4	Q96PJ5
FEZF1	A0PJY2
FEZF2	Q8TBJ5
FFAR1	O14842
FGF3	P11487
FGF4	P08620
FGF6	P10767
FIGLA	Q6QHK4
FLG2	Q5D862
FMR1NB	Q8N0W7
FNDC7	Q5VTL7
FNDC9	Q8TBE3
FOXB1	Q99853
FOXB2	Q5VYV0
FOXD4L3	Q6VB84
FOXD4L4	Q8WXT5
FOXE3	Q13461
FOXN1	O15353
FOXR1	Q6PIV2
FRG2	Q64ET8
FRMD7	Q6ZUT3
FSCB	Q5H9T9
FUT5	Q11128
FUT9	Q9Y231
GABRA1	P14867
GABRA6	Q16445
GAGE1	P0DTW1
GALNTL5	Q7Z4T8
GALR1	P47211
GALR3	O60755
GBP7	Q8N8V2
GCG	P01275
GCM2	O75603
GDF2	Q9UK05
GFRA4	Q9GZZ7
GFRAL	Q6UXV0
GH2	P01242
GHRH	P01286
GHSR	Q92847
GJA10	Q969M2
GJA8	P48165
GK2	Q14410
GKN2	Q86XP6
GLRA1	P23415
GLRA2	P23416
GLT6D1	Q7Z4J2
GML	Q99445
GOLGA6L2	Q8N9W4
GOT1L1	Q8NHS2
GPR101	Q96P66
ADGRF2	Q8IZF7
GPR119	Q8TDV5
ADGRG7	Q96K78
GPR139	Q6DWJ6
ADGRD2	Q7Z7M1
GPR148	Q8TDV2
GPR151	Q8TDV0
GPR152	Q8TDT2
GPR26	Q8NDV2
GPR31	O00270
GPR32	O75388
GPR45	Q9Y5Y3
GPR50	Q13585
GPR52	Q9Y2T5
GPR78	Q96P69
GPRC6A	Q5T6X5
GPX5	O75715
GPX6	P59796
GRK1	Q15835
GRM4	Q14833
GRM5	P41594
GRM6	O15303
GSC2	O15499
GSTA5	Q7RTV2
GSX1	Q9H4S2
GSX2	Q9BZM3
GUCA2A	Q02747
GUCY2F	P51841
HAO1	Q9UJM8
HCRTR2	O43614
HDGFL1	Q5TGJ6
HHLA1	C9JL84
HMX1	Q9NP08
HOXB1	P14653
HOXD12	P35452
HRG	P04196
HRH3	Q9Y5N1
HSFY1	Q96LI6
HTN3	P15516
HTR1A	P08908
HTR2C	P28335
HTR3C	Q8WXA8
HTR3D	Q70Z44
HTR3E	A5X5Y0
HTR5A	P47898
HTR6	P50406
IAPP	P10997
IFIT1B	Q5T764
IFNA10	P01566
IFNA14	P01570
IFNA16	P05015
IFNA17	P01571
IFNA2	P01563
IFNA21	P01568
IFNA4	P05014
IFNA5	P01569
IFNA6	P05013
IFNA7	P01567
IFNA8	P32881
IFNB1	P01574
IFNK	Q9P0W0
IFNW1	P05000
IL12B	P29460
IL13	P35225
