hgnc	uniprot_id
OR10A2	Q9H208
OR10A3	P58181
OR10A4	Q9H209
OR10A5	Q9H207
OR10A6	Q8NH74
OR10A7	Q8NGE5
OR10AD1	Q8NGE0
OR10AG1	Q8NH19
OR10C1	Q96KK4
OR10G3	Q8NGC4
OR10G4	Q8NGN3
OR10G7	Q8NGN6
OR10G8	Q8NGN5
OR10G9	Q8NGN4
OR10H1	Q9Y4A9
OR10H2	O60403
OR10H3	O60404
OR10H4	Q8NGA5
OR10H5	Q8NGA6
OR10J1	P30954
OR10J3	Q5JRS4
OR10J5	Q8NHC4
OR10K1	Q8NGX5
OR10K2	Q6IF99
OR10P1	Q8NGE3
OR10Q1	Q8NGQ4
OR10R2	Q8NGX6
OR10T2	Q8NGX3
OR10V1	Q8NGI7
OR10W1	Q8NGF6
OR10X1	Q8NGY0
OR10Z1	Q8NGY1
OR11A1	Q9GZK7
OR11G2	Q8NGC1
OR11H1	Q8NG94
OR11H12	B2RN74
OR11H4	Q8NGC9
OR11H6	Q8NGC7
OR11L1	Q8NGX0
OR12D2	P58182
OR12D3	Q9UGF7
OR13A1	Q8NGR1
OR13C2	Q8NGS9
OR13C3	Q8NGS6
OR13C4	Q8NGS5
OR13C5	Q8NGS8
OR13C7	P0DN81
OR13C8	Q8NGS7
OR13C9	Q8NGT0
OR13D1	Q8NGV5
OR13F1	Q8NGS4
OR13G1	Q8NGZ3
OR13H1	Q8NG92
OR13J1	Q8NGT2
OR14A16	Q8NHC5
OR14C36	Q8NHC7
OR14I1	A6ND48
OR14J1	Q9UGF5
OR1A1	Q9P1Q5
OR1A2	Q9Y585
OR1C1	Q15619
OR1D2	P34982
OR1D4	P47884
OR1D5	P58170
OR1E1	P30953
OR1E2	P47887
OR1F1	O43749
OR1G1	P47890
OR1I1	O60431
OR1J1	Q8NGS3
OR1J2	Q8NGS2
OR1J4	Q8NGS1
OR1K1	Q8NGR3
OR1L1	Q8NH94
OR1L3	Q8NH93
OR1L4	Q8NGR5
OR1L6	Q8NGR2
OR1L8	Q8NGR8
OR1M1	Q8NGA1
OR1N1	Q8NGS0
OR1N2	Q8NGR9
OR1Q1	Q15612
OR1S1	Q8NH92
OR1S2	Q8NGQ3
OR2A1	A0A2R8YEG4
OR2A12	Q8NGT7
OR2A14	A0A4W9AIG4
OR2A2	A0A126GWB0
OR2A25	A4D2G3
OR2A4	O95047
OR2A42	A0A2R8YEV3
OR2A5	Q96R48
OR2A7	Q96R45
OR2AE1	Q8NHA4
OR2AG1	Q9H205
OR2AG2	A6NM03
OR2AK2	Q8NG84
OR2AP1	Q8NGE2
OR2AT4	A6NND4
OR2B11	Q5JQS5
OR2B2	Q9GZK3
OR2B3	O76000
OR2B6	P58173
OR2C1	O95371
OR2C3	Q8N628
OR2D2	Q9H210
OR2D3	Q8NGH3
OR2F1	Q13607
OR2F2	O95006
OR2G2	Q8NGZ5
OR2G3	Q8NGZ4
OR2G6	Q5TZ20
OR2H1	Q9GZK4
OR2H2	O95918
OR2J1	Q9GZK6
OR2J2	O76002
OR2J3	O76001
OR2K2	Q8NGT1
OR2L13	Q8N349
OR2L2	Q8NH16
OR2L3	Q8NG85
OR2L5	Q8NG80
OR2L8	Q8NGY9
OR2M2	Q96R28
OR2M3	Q8NG83
OR2M4	Q96R27
OR2M5	A3KFT3
OR2M7	Q8NG81
OR2S2	Q9NQN1
OR2T1	O43869
OR2T10	Q8NGZ9
OR2T11	Q8NH01
OR2T2	Q6IF00
OR2T29	Q8NH02
OR2T3	Q8NH03
OR2T34	Q8NGX1
OR2T35	Q8NGX2
OR2T4	Q8NH00
OR2T5	Q6IEZ7
OR2T6	Q8NHC8
OR2T8	A6NH00
OR2V1	Q8NHB1
OR2V2	Q96R30
OR2W1	Q9Y3N9
OR2W3	Q7Z3T1
OR2Y1	Q8NGV0
OR2Z1	Q8NG97
OR3A1	P47881
OR3A2	P47893
OR3A3	P47888
OR4A15	Q8NGL6
OR4A16	Q8NH70
OR4A47	Q6IF82
OR4A5	Q8NH83
OR4B1	Q8NGF8
OR4C11	Q6IEV9
OR4C12	Q96R67
OR4C15	Q8NGM1
OR4C16	Q8NGL9
OR4C3	Q8NH37
OR4C45	A6NMZ5
OR4C46	A6NHA9
OR4C5	Q8NGB2
OR4C6	Q8NH72
OR4D1	Q15615
OR4D10	Q8NGI6
OR4D11	Q8NGI4
