hgnc	uniprot_id
AAGAB	Q6PD74
ABCD1	P33897
ACSL4	O60488
ACVRL1	P37023
ADNP	Q9H2P0
AFF2	P51816
AHDC1	Q5TGY3
ALX4	Q9H161
ANK2	Q01484
ANKRD11	Q6UB99
ANOS1	P23352
AP1S2	P56377
APC	P25054
AR	P10275
ARID1A	O14497
ARID1B	Q8NFD5
ASH1L	Q9NR48
ASXL1	Q8IXJ9
ASXL3	Q9C0F0
ATP7A	Q04656
ATRX	P46100
AUTS2	Q8WXX7
AVPR2	P30518
BAG3	O95817
BCL11A	Q9H165
BCOR	Q6W2J9
BMPR1A	P36894
BMPR2	Q13873
BRCA1	P38398
BRCA2	P51587
BTK	Q06187
CACNA1A	O00555
CAMTA1	Q9Y6Y1
CASK	O14936
CDKL5	O76039
CDKN1C	P49918
CHD2	O14647
CHD7	Q9P2D1
CHD8	Q9HCK8
CHM	P24386
CHRDL1	Q9BU40
CIC	Q96RK0
CLCN5	P51795
CNKSR2	Q8WXI2
COL1A1	P02452
COL2A1	P02458
COL3A1	P02461
COL4A5	P29400
COL5A1	P20908
CREBBP	Q92793
CTNNB1	P35222
CUL4B	Q13620
CYBB	P04839
DCX	O43602
DDX3X	O00571
DICER1	Q9UPY3
DMD	P11532
DPP6	P42658
DSCAM	O60469
DYRK1A	Q13627
EDA	Q92838
EDNRB	P24530
EFNB1	P98172
EFTUD2	Q15029
EHMT1	Q9H9B1
ENG	P17813
EP300	Q09472
EXT1	Q16394
EXT2	Q93063
EYA1	Q99502
EYA4	O95677
F8	P00451
F9	P00740
FANCB	Q8NB91
FASN	P49327
FBN1	P35555
FGD1	P98174
FGF10	O15520
FGFR1	P11362
FLCN	Q8NFG4
FLG	P20930
FLNA	P21333
FMR1	Q06787
FOXC1	Q12948
FOXC2	Q99958
FOXF1	Q12946
FOXG1	P55316
FOXL2	P58012
FOXP1	Q9H334
FRMD7	Q6ZUT3
FTSJ1	Q9UET6
FZD4	Q9ULV1
FZR1	Q9UM11
GATA2	P23769
GATA3	P23771
GATA4	P43694
GATA6	Q92908
GATAD2B	Q8WXI9
GCH1	P30793
GDF5	P43026
GK	P32189
GLI2	P10070
GLI3	P10071
GLMN	Q92990
GNAS	Q5JWF2
GPC3	P51654
GRIN2B	Q13224
HCCS	P53701
HDAC8	Q9BY41
HIVEP2	P31629
HNF1B	P35680
HNRNPK	P61978
HOXD13	P35453
HPRT1	P00492
IDS	P22304
IGF1R	P08069
IKBKG	Q9Y6K9
IL1RAPL1	Q9NZN1
IQSEC2	Q5JU85
IRF6	O14896
JAG1	P78504
KANSL1	Q7Z3B3
KAT6A	Q92794
KAT6B	Q8WYB5
KCNH2	Q12809
KCNQ1	P51787
KCNQ2	O43526
KDM5C	P41229
KDM6A	O15550
KIF11	P52732
KMT2A	Q03164
KMT2B	Q9UMN6
KMT2C	Q8NEZ4
KMT2D	O14686
L1CAM	P32004
LAMP2	P13473
LDLR	P01130
LEMD3	Q9Y2U8
LHX4	Q969G2
LMX1B	O60663
MBD5	Q9P267
MECP2	P51608
MED13L	Q71F56
MEF2C	Q06413
MEN1	O00255
MID1	O15344
MITF	O75030
MLH1	P40692
MNX1	P50219
MPP3	Q13368
MSH2	P43246
MSH6	P52701
MSX2	P35548
MTM1	Q13496
MYBPC3	Q14896
MYCN	P04198
MYT1L	Q9UL68
NAT8	Q9UHE5
NCKAP1	Q9Y2A7
NDP	Q00604
NEXMIF	Q5QGS0
NF1	P21359
NF2	P35240
NFIA	Q12857
NHS	Q6T4R5
NIPBL	Q6KC79
NKX2-5	P52952
NR0B1	P51843
NR5A1	Q13285
NRXN1	Q9ULB1
NSD1	Q96L73
NSDHL	Q15738
NYX	Q9GZU5
OCRL	Q01968
OFD1	O75665
OPHN1	O60890
OTC	P00480
OTX2	P32243
PAFAH1B1	P43034
PAX2	Q02962
PAX3	P23760
PAX6	P26367
PAX9	P55771
PCDH19	Q8TAB3
PDHA1	P08559
PGK1	P00558
PHEX	P78562
PHF6	Q8IWS0
PHF8	Q9UPP1
PITX2	Q99697
PKD1	P98161
PKP2	Q99959
PLP1	P60201
PMS2	P54278
POGZ	Q7Z3K3
PORCN	Q9H237
PQBP1	O60828
PRKD2	Q9BZL6
PRPS1	P60891
PTCH1	Q13635
PTCHD1	Q96NR3
PTEN	P60484
PTPN11	Q06124
PURA	Q00577
PXMP2	Q9NR77
RAB39B	Q96DA2
RASA1	P20936
RB1	P06400
RET	P07949
RNASE12	Q5GAN4
RP2	O75695
RPS17	P08708
RPS19	P39019
RPS24	P62847
RPS26	P62854
RPS6KA3	P51812
RSC1A1	Q92681
RUNX1	Q01196
SALL1	Q9NSC2
SALL4	Q9UJQ4
SATB2	Q9UPW6
SCN1A	P35498
SCN2A	Q99250
SDHB	P21912
SDHC	Q99643
SDHD	O14521
SETBP1	Q9Y6X0
SETD1A	O15047
SETD5	Q9C0A6
SF3B4	Q15427
SGCE	O43556
SH2D1A	O60880
SH3D19	Q5HYK7
SHANK3	Q9BYB0
SHH	Q15465
SHOX	O15266
SIX3	O95343
SLC16A2	P36021
SLC2A1	P11166
SLC35A2	P78381
SLC6A1	P30531
SLC6A8	P48029
SLC9A6	Q92581
SMAD3	P84022
SMAD4	Q13485
SMARCB1	Q12824
SMC1A	Q14683
SMIM6	P0DI80
SMS	P52788
SOX10	P56693
SOX11	P35716
SOX2	P48431
SOX5	P35711
SOX9	P48436
SPRED1	Q7Z699
SRY	Q05066
STK11	Q15831
STS	P08842
STXBP1	P61764
SYNGAP1	Q96PV0
TBR1	Q16650
TBX22	Q9Y458
TBX3	O15119
TBX5	Q99593
TCF12	Q99081
TCF20	Q9UGU0
TCF7L2	Q9NQB0
TCOF1	Q13428
TFAP2B	Q92481
TGIF1	Q15583
TIMM8A	O60220
TP53	P04637
TRAPPC2	P0DI81
TRIO	O75962
TRIP12	Q14669
TRPS1	Q9UHF7
