hgnc	uniprot_id
ABCE1	P61221
ABCF1	Q8NE71
ACTB	P60709
ACTL6A	O96019
ACTR10	Q9NZ32
ACTR2	P61160
ADSL	P30566
AHCY	P23526
ALG1	Q9BT22
ALG14	Q96F25
ALG2	Q9H553
ANAPC2	Q9UJX6
ANAPC4	Q9UJX5
ANAPC5	Q9UJX4
AQR	O60306
ARCN1	P48444
ARIH1	Q9Y4X5
ARL2	P36404
ATP2A2	P16615
ATP5F1A	P25705
ATP5F1B	P06576
ATP5F1C	P36542
ATP5F1D	P30049
ATP5MG	O75964
ATP5PO	P48047
ATP6V0B	Q99437
ATP6V0C	P27449
ATP6V1A	P38606
ATP6V1D	Q9Y5K8
ATP6V1E1	P36543
ATR	Q13535
AURKB	Q96GD4
BANF1	O75531
BIRC5	O15392
BUB1B	O60566
BUB3	O43684
BUD31	P41223
BYSL	Q13895
TWNK	Q96RR1
C1orf109	Q9NX04
CFAP298	P57076
NEPRO	Q6NW34
SPOUT1	Q5T280
YJU2	Q9BW85
CCNA2	P20248
CCNH	P51946
CCNK	O75909
CCT2	P78371
CCT3	P49368
CCT4	P50991
CCT5	P48643
CCT6A	P40227
CCT7	Q99832
CCT8	P50990
CDC123	O75794
CDC16	Q13042
CDC20	Q12834
CDC27	P30260
CDC37	Q16543
CDC5L	Q99459
CDC73	Q6P1J9
CDK1	P06493
CDK7	P50613
CDK9	P50750
CDT1	Q9H211
CEBPZ	Q03701
CENPA	P49450
CENPC	Q03188
CFL1	P23528
CHAF1A	Q13111
CHAF1B	Q13112
CHEK1	O14757
CHERP	Q8IWX8
CHMP2A	O43633
CHMP6	Q96FZ7
CIAO1	O76071
CINP	Q9BW66
UTP4	Q969X6
CKAP5	Q14008
CLNS1A	P54105
CLP1	Q92989
CLTC	Q00610
CMPK1	P30085
CMTR1	Q8N1G2
CNOT3	O75175
COA5	Q86WW8
COPA	P53621
COPB1	P53618
COPB2	P35606
COPS3	Q9UNS2
COPS6	Q7L5N1
COPZ1	P61923
COQ4	Q9Y3A0
COX10	Q12887
COX11	Q9Y6N1
COX15	Q7KZN9
COX4I1	P13073
COX5B	P10606
COX6B1	P14854
CPSF1	Q10570
CPSF2	Q9P2I0
CPSF3	Q9UKF6
CPSF4	O95639
CRNKL1	Q9BZJ0
CSE1L	P55060
CTDP1	Q9Y5B0
CTPS1	P17812
CTR9	Q6PD62
CYCS	P99999
DAD1	P61803
DBR1	Q9UK59
DCTN5	Q9BTE1
DDB1	Q16531
DDOST	P39656
DDX10	Q13206
DDX18	Q9NVP1
DDX20	Q9UHI6
DDX21	Q9NR30
DDX27	Q96GQ7
DDX41	Q9UJV9
DDX47	Q9H0S4
DDX49	Q9Y6V7
DDX55	Q8NHQ9
DDX56	Q9NY93
DGCR8	Q8WYQ5
DHODH	Q02127
DHPS	P49366
DHX15	O43143
DHX33	Q9H6R0
DHX37	Q8IY37
DHX8	Q14562
DHX9	Q08211
UTP25	Q68CQ4
DIMT1	Q9UNQ2
DIS3	Q9Y2L1
DKC1	O60832
DLST	P36957
DMAP1	Q9NPF5
DNAJA3	Q96EY1
DNAJC9	Q8WXX5
DNM2	P50570
DNMT1	P26358
DOLK	Q9UPQ8
DONSON	Q9NYP3
DPAGT1	Q9H3H5
DTL	Q9NZJ0
DTYMK	P23919
DYNC1I2	Q13409
ECD	O95905
EEF2	P13639
EFTUD2	Q15029
EIF2B1	Q14232
EIF2B3	Q9NR50
EIF2B5	Q13144
EIF2S1	P05198
EIF2S2	P20042
EIF2S3	P41091
EIF3A	Q14152
EIF3B	P55884
EIF3C	Q99613
EIF3D	O15371
EIF3G	O75821
EIF3I	Q13347
EIF4A3	P38919
EIF5A	P63241
EIF5B	O60841
EIF6	P56537
ELAC2	Q9BQ52
ELL	P55199
ERCC2	P18074
ERCC3	P19447
ERH	P84090
EXOSC2	Q13868
EXOSC3	Q9NQT5
EXOSC4	Q9NPD3
EXOSC6	Q5RKV6
EXOSC7	Q15024
EXOSC8	Q96B26
CIAO2B	Q9Y3D0
FARS2	O95363
FARSA	Q9Y285
FARSB	Q9NSD9
FAU	P35544
FNTA	P49354
FNTB	P49356
FTSJ3	Q8IY81
GABPA	Q06546
GAPDH	P04406
GART	P22102
GEMIN5	Q8TEQ6
GEMIN8	Q9NWZ8
GFM1	Q96RP9
GGPS1	O95749
GINS2	Q9Y248
GINS3	Q9BRX5
GINS4	Q9BRT9
GMPPB	Q9Y5P6
GMPS	P49915
RACK1	P63244
GNL3	Q9BVP2
GPN3	Q9UHW5
GPS1	Q13098
GRPEL1	Q9HAV7
GRWD1	Q9BQ67
GSPT1	P15170
GTF2B	Q00403
GTF2H1	P32780
GTF2H2C	Q6P1K8
GTF2H4	Q92759
GTF3A	Q92664
GTF3C1	Q12789
GTF3C2	Q8WUA4
GTF3C5	Q9Y5Q8
GTPBP4	Q9BZE4
GUK1	Q16774
HAUS1	Q96CS2
HAUS5	O94927
HCFC1	P51610
HDAC3	O15379
HEATR1	Q9H583
HINFP	Q9BQA5
HJURP	Q8NCD3
HNRNPC	P07910
HNRNPK	P61978
HNRNPL	P14866
HNRNPU	Q00839
HSD17B10	Q99714
HSPA9	P38646
HSPD1	P10809
HUWE1	Q7Z6Z7
HYPK	Q9NX55
IGBP1	P78318
ILF3	Q12906
IMP3	Q9NV31
IMP4	Q96G21
INTS1	Q8N201
INTS3	Q68E01
