hgnc	uniprot_id
ABCA1	O95477
ABCC9	O60706
ACTA1	P68133
ACTA2	P62736
ACTB	P60709
ACTC1	P68032
ACTG1	P63261
ACTN2	P35609
ACTN4	O43707
ACVR2B	Q13705
ACVRL1	P37023
ADAR	P55265
AFG3L2	Q9Y4W6
AFP	P02771
AIP	O00170
AK1	P00568
AKAP9	Q99996
AKT2	P31751
ALX4	Q9H161
AMPD1	P23109
ANG	P03950
ANK1	P16157
ANK2	Q01484
ANKH	Q9HCJ1
APC	P25054
APOA1	P02647
APOA2	P02652
APOA5	Q6Q788
APOB	P04114
APP	P05067
ARHGEF10	O15013
ATL1	Q8WXF7
ATP1A2	P50993
ATP2A2	P16615
ATP2C1	P98194
ATXN1	P54253
ATXN10	Q9UBB4
ATXN2	Q99700
ATXN3	P54252
ATXN7	O15265
AXIN2	Q9Y2T1
BAG3	O95817
BCO1	Q9HAY6
BEST1	O76090
BFSP2	Q13515
BLK	P51451
BMP4	P12644
BMPR1A	P36894
BMPR1B	O00238
BMPR2	Q13873
BRCA1	P38398
BRIP1	Q9BX63
BSCL2	Q96G97
C1QA	P02745
C1QTNF5	Q9BXJ0
C3	P01024
C8A	P07357
C8B	P07358
CA12	O43570
CA4	P22748
CACNA1A	O00555
CACNA1S	Q13698
CACNB2	Q08289
CASP10	Q92851
CAT	P04040
CBL	P22681
CCDC50	Q8IVM0
CCM2	Q9BSQ5
CD2AP	Q9Y5K6
CD4	P01730
CDC73	Q6P1J9
CDH1	P12830
CDH15	P55291
CDHR1	Q96JP9
CDK4	P11802
CDKN1B	P46527
CDKN1C	P49918
CDKN2A	P42771
CDSN	Q15517
CEL	P19835
CES1	P23141
CETP	P11597
CFD	P00746
CHD7	Q9P2D1
CHEK2	O96017
CHMP2B	Q9UQN3
CHMP4B	Q9H444
CHN1	P15882
CHRNA2	Q15822
CHRNA4	P43681
CHRNB2	P17787
CHST3	Q7LGC8
CIITA	P33076
CISD2	Q8N5K1
CLCN2	P51788
CLEC7A	Q9BXN2
CNBP	P62633
COCH	O43405
COL10A1	Q03692
COL11A1	P12107
COL11A2	P13942
COL1A1	P02452
COL1A2	P08123
COL2A1	P02458
COL3A1	P02461
COL4A1	P02462
COL5A1	P20908
COL5A2	P05997
COL6A1	P12109
COL6A2	P12110
COL6A3	P12111
COL7A1	Q02388
COL8A2	P25067
COL9A1	P20849
COL9A2	Q14055
COL9A3	Q14050
COMP	P49747
CPOX	P36551
CREBBP	Q92793
CRX	O43186
CRYAA	P02489
CRYAB	P02511
CRYBA1	P05813
CRYBA4	P53673
CRYBB1	P53674
CRYBB2	P43320
CRYGC	P07315
CRYGD	P07320
CRYGS	P22914
CRYM	Q14894
CSF3R	Q99062
CSPG4	Q6UVK1
CSRP3	P50461
CST3	P01034
CTNNB1	P35222
CXCR4	P61073
CYCS	P99999
CYLD	Q9NQC7
CYP1A2	P05177
CYP2C9	P11712
DCN	P07585
DCTN1	Q14203
DES	P17661
DGCR2	P98153
DIAPH1	O60610
DMPK	Q09013
DNM1L	O00429
DNM2	P50570
DRD2	P14416
DRD5	P21918
DSG1	Q02413
DSG2	Q14126
DSPP	Q9NZW4
DTNA	Q9Y4J8
DTNBP1	Q96EV8
DUSP8	Q13202
ECE1	P42892
EFEMP1	Q12805
EGLN1	Q9GZT9
EGR2	P11161
EHMT1	Q9H9B1
ELN	P15502
ELOVL4	Q9GZR5
EMX2	Q04743
ENG	P17813
ENTPD3	O75355
EP300	Q09472
EPAS1	Q99814
EPB41	P11171
EPHA2	P29317
EPOR	P19235
ESR1	P03372
EXT1	Q16394
EXT2	Q93063
EYA1	Q99502
EYA4	O95677
F2	P00734
FAM83H	Q6ZRV2
FAS	P25445
FBF1	Q8TES7
FBLN1	P23142
FBN1	P35555
FBN2	P35556
FGA	P02671
FGF10	O15520
FGF14	Q92915
FGF8	P55075
FGF9	P31371
FGFR1	P11362
FGFR2	P21802
FGFR3	P22607
FGG	P02679
FIGLA	Q6QHK4
FLCN	Q8NFG4
FLG	P20930
FLNC	Q14315
FLT4	P35916
FN1	P02751
FOXC1	Q12948
FOXC2	Q99958
FOXG1	P55316
FOXL2	P58012
FOXP1	Q9H334
FOXP2	O15409
FSCN2	O14926
FSHR	P23945
FTH1	P02794
FTL	P02792
FXYD2	P54710
FZD4	Q9ULV1
GABRG2	P18507
GATA3	P23771
GATA4	P43694
GBGT1	Q8N5D6
GCM2	O75603
GDF3	Q9NR23
GDF6	Q6KF10
GDNF	P39905
GFAP	P14136
GFI1	Q99684
GH1	P01241
GJA1	P17302
GJA3	Q9Y6H8
GJA5	P36382
GJA8	P48165
GJB4	Q9NTQ9
GJB6	O95452
GLI3	P10071
GLMN	Q92990
GLUD1	P00367
GNAS	Q5JWF2
GNAT1	P11488
GP1BA	P07359
GPD1L	Q8N335
GPI	P06744
GRHL2	Q6ISB3
GRN	P28799
GSN	P06396
GUCA1A	P43080
GUCA1B	Q9UMX6
GUCY2D	Q02846
HBA1	P69905
HBD	P02042
HBG1	P69891
HBG2	P69892
HCN4	Q9Y3Q4
HCRT	O43612
HDAC4	P56524
HMBS	P08397
HNF1A	P20823
HNF1B	P35680
HNF4A	P41235
HOXA11	P31270
HOXA13	P31271
HOXD10	P28358
HOXD13	P35453
HRAS	P01112
HSF4	Q9ULV5
HSPB3	Q12988
HSPB8	Q9UJY1
HTRA2	O43464
HTT	P42858
IDH2	P48735
IMPDH1	P20839
INF2	Q27J81
INS	P01308
IRF6	O14896
ITGA2	P17301
ITM2B	Q9Y287
ITPR1	Q14643
JAG1	P78504
JAK2	O60674
JPH3	Q8WXH2
KBTBD13	C9JR72
KCNA1	Q09470
KCNA5	P22460
KCNC3	Q14003
KCNE1	P15382
KCNE2	Q9Y6J6
KCNE3	Q9Y6H6
KCNH2	Q12809
KCNJ11	Q14654
KCNJ13	O60928
KCNJ2	P63252
KCNJ5	P48544
KCNMA1	Q12791
KCNQ1	P51787
KCNQ2	O43526
KCNQ3	O43525
KCNQ4	P56696
KDR	P35968
KIF1B	O60333
KIF21A	Q7Z4S6
KIF5A	Q12840
KIRREL3	Q8IZU9
KISS1R	Q969F8
KIT	P10721
KLF1	Q13351
KLF11	O14901
KLHL7	Q8IXQ5
KRIT1	O00522
KRT1	P04264
KRT10	P13645
KRT12	Q99456
KRT13	P13646
KRT14	P02533
KRT16	P08779
KRT17	Q04695
KRT2	P35908
KRT3	P12035
KRT4	P19013
KRT5	P13647
KRT6A	P02538
KRT6B	P04259
KRT74	Q7RTS7
KRT81	Q14533
KRT83	P78385
KRT86	O43790
KRT9	P35527
LAMB1	P07942
LBR	Q14739
LDB3	O75112
LDLR	P01130
LEFTY2	O00292
LEMD3	Q9Y2U8
LGI1	O95970
LHB	P01229
LHCGR	P22888
LHX4	Q969G2
LIPC	P11150
LITAF	Q99732
