hgnc	uniprot_id
AAAS	Q9NRG9
AASS	Q9UDR5
ABAT	P80404
ABCA1	O95477
ABCA12	Q86UK0
ABCA3	Q99758
ABCA4	P78363
ABCB11	O95342
ABCC2	Q92887
ABCC6	O95255
ABCD3	P28288
ABCG5	Q9H222
ABCG8	Q9H221
ABHD12	Q8N2K0
ABHD5	Q8WTS1
ACAD8	Q9UKU7
ACAD9	Q9H845
ACADL	P28330
ACADM	P11310
ACADS	P16219
ACADSB	P45954
ACADVL	P49748
ACAT1	P24752
ACE	P12821
ACOX1	Q15067
ACY1	Q03154
ADA	P00813
ADAM9	Q13443
ADAMTS17	Q8TE56
ADAMTS2	O95450
ADAMTSL2	Q86TH1
ADAMTSL4	Q6UY14
ADSL	P30566
AGA	P20933
AGL	P35573
AGPAT2	O15120
AGPS	O00116
AGRN	O00468
AGT	P01019
AGTR1	P30556
AGXT	P21549
AHCY	P23526
AHI1	Q8N157
AICDA	Q9GZX7
AIPL1	Q9NZN9
AIRE	O43918
AK2	P54819
AKR1D1	P51857
ALAD	P13716
ALDH18A1	P54886
ALDH3A2	P51648
ALDH4A1	P30038
ALDH5A1	P51649
ALDH6A1	Q02252
ALDH7A1	P49419
ALDH9A1	P49189
ALDOA	P04075
ALDOB	P05062
ALG12	Q9BV10
ALG2	Q9H553
ALG3	Q92685
ALG6	Q9Y672
ALG8	Q9BVK2
ALG9	Q9H6U8
ALMS1	Q8TCU4
ALOX12B	O75342
ALOXE3	Q9BYJ1
ALPL	P05186
ALS2	Q96Q42
ALX3	O95076
AMACR	Q9UHK6
AMH	P03971
AMHR2	Q16671
AMN	Q9BXJ7
AMT	P48728
ANGPTL3	Q9Y5C1
ANO10	Q9NW15
ANO6	Q4KMQ2
ANTXR2	P58335
AP3B1	O00203
AP4M1	O00189
AP5Z1	O43299
APOB	P04114
APOC2	P02655
APOE	P02649
APRT	P07741
APTX	Q7Z2E3
AQP2	P41181
ARFGEF2	Q9Y6D5
ARL13B	Q3SXY8
ARL6	Q9H0F7
ARSA	P15289
ARSB	P15848
ASAH1	Q13510
ASH1L	Q9NR48
ASL	P04424
ASPA	P45381
ASPM	Q8IZT6
ASS1	P00966
ATCAY	Q86WG3
ATIC	P31939
ATM	Q13315
ATP13A2	Q9NQ11
ATP2A1	O14983
ATP6V0A2	Q9Y487
ATP6V0A4	Q9HBG4
ATP6V1B1	P15313
ATP7B	P35670
ATP8B1	O43520
ATPAF2	Q8N5M1
ATR	Q13535
AUH	Q13825
AURKC	Q9UQB9
B2M	P61769
B4GALT7	Q9UBV7
BAAT	Q14032
BBS1	Q8NFJ9
BBS10	Q8TAM1
BBS12	Q6ZW61
BBS2	Q9BXC9
BBS4	Q96RK4
BBS5	Q8N3I7
BBS7	Q8IWZ6
BBS9	Q3SYG4
BCHE	P06276
BCKDHA	P12694
BCKDHB	P21953
BCS1L	Q9Y276
BDNF	P23560
BFSP1	Q12934
BIN1	O00499
BLM	P54132
BLNK	Q8WV28
BLOC1S3	Q6QNY0
BPGM	P07738
BRAF	P15056
BSND	Q8WZ55
BTD	P43251
BUB1B	O60566
C1QB	P02746
C1QC	P02747
C1R	P00736
C1S	P09871
C2	P06681
C4A	P0C0L4
C5	P01031
C9	P02748
CA2	P00918
CABP4	P57796
CACNA2D4	Q7Z3S7
CAPN3	P20807
CARD9	Q9H257
CASP8	Q14790
CASQ2	O14958
CATSPER1	Q8NEC5
CAV1	Q03135
CBS	P35520
CBX2	Q14781
CC2D1A	Q6P1N0
CC2D2A	Q9P2K1
CCBE1	Q6UXH8
CCT5	P48643
CD151	P48509
CD19	P15391
CD247	P20963
CD320	Q9NPF0
CD36	P16671
CD3D	P04234
CD3E	P07766
CD3G	P09693
CD40	P25942
CD79A	P11912
CD81	P60033
CD8A	P01732
CD96	P40200
CDAN1	Q8IWY9
CDH15	P55291
CDH23	Q9H251
CDH3	P22223
CDK5RAP2	Q96SN8
CEBPE	Q15744
CEP152	O94986
CEP290	O15078
CERKL	Q49MI3
CFC1	P0CG37
CFI	P05156
CFL2	Q9Y281
CFTR	P13569
CHAT	P28329
CHRNB1	P11230
CHRNE	Q04844
CHRNG	P07510
CHST14	Q8NCH0
CHST6	Q9GZX3
CHUK	O15111
CLCF1	Q9UBD9
CLCN1	P35523
CLCN7	P51798
CLCNKB	P51801
CLDN1	O95832
CLDN14	O95500
CLDN16	Q9Y5I7
CLDN19	Q8N6F1
CLEC10A	Q8IUN9
CLN3	Q13286
CLN5	O75503
CLN6	Q9NWW5
CLN8	Q9UBY8
CLRN1	P58418
