ensembl_transcript_id	hgnc_symbol
ENST00000255324	RNF17
ENST00000255465	CCNA1
ENST00000255304	USPL1
ENST00000261667	KPNA3
ENST00000269159	IMPA2
ENST00000261600	THOC1
ENST00000261488	ENOX1
ENST00000025301	AKAP11
ENST00000261601	USP14
ENST00000257209	FHOD3
ENST00000255882	PI4KA
ENST00000239882	ELF1
ENST00000262039	PIK3C3
ENST00000239878	UFM1
ENST00000263205	MED15
ENST00000261597	NDC80
ENST00000261296	TGDS
ENST00000217260	RSPO4
ENST00000246105	DEFB129
ENST00000246024	TMX4
ENST00000215743	MMP11
ENST00000262919	ATRN
ENST00000217305	PDYN
ENST00000202625	TGM6
ENST00000255226	SLC14A2
ENST00000254998	NXT1
ENST00000248948	VPREB3
ENST00000219022	OLFM4
ENST00000262545	PCSK2
ENST00000254976	SNAP25
ENST00000246012	CST8
ENST00000262487	ISM1
ENST00000215781	OSM
ENST00000262126	ANKRD12
ENST00000249014	CDC42EP1
ENST00000216037	XBP1
ENST00000266087	FBXO7
ENST00000262547	DZANK1
ENST00000203001	TRMT6
ENST00000246071	SNRPB2
ENST00000253381	DEFB118
ENST00000246006	CD93
ENST00000262460	GINS1
ENST00000201979	REM1
ENST00000246069	DSTN
ENST00000170150	BPIFB2
ENST00000246104	SCRT2
ENST00000202677	RALGAPA2
ENST00000216127	RASD2
ENST00000215912	PIK3IP1
ENST00000249044	APOL5
ENST00000262127	CEP76
ENST00000255224	SYT4
ENST00000251108	CDADC1
ENST00000256906	HRH4
ENST00000253382	ACSS2
ENST00000266088	SLC5A1
ENST00000216190	EIF3D
ENST00000249075	LIF
ENST00000248901	CYTH4
ENST00000256429	MBD2
ENST00000262848	PRKX
ENST00000217961	STS
ENST00000254958	JAG1
ENST00000243924	PI3
ENST00000262094	RAB27B
ENST00000215886	LGALS2
ENST00000256857	GRP
ENST00000216133	CBX7
ENST00000216180	PNPLA3
ENST00000262726	EFCAB6
ENST00000217515	TXNL1
ENST00000217939	MXRA5
ENST00000216268	ZBED4
ENST00000237536	SOGA1
ENST00000216211	UPK3A
ENST00000243903	ACTR5
ENST00000216146	RPL3
ENST00000263125	PRKCQ
ENST00000216075	MIOX
ENST00000215855	CRYBB3
ENST00000217420	SLC32A1
ENST00000249066	APOL2
ENST00000261332	ZNF24
ENST00000252011	DHX35
ENST00000216218	ST13
ENST00000267339	ANKRD10
ENST00000215904	PDXP
ENST00000238508	SERPINB10
ENST00000246505	PCID2
ENST00000039007	OTC
ENST00000218075	GLRA2
ENST00000216185	TXN2
ENST00000262717	CDH20
ENST00000261965	TUBGCP3
ENST00000216129	TTLL12
ENST00000267291	RNF113B
ENST00000251047	LMAN1
ENST00000262719	PHLPP1
ENST00000262150	CDH19
ENST00000263038	PHYH
ENST00000218340	RP2
ENST00000247138	SLC35A2
ENST00000242827	EBPL
ENST00000218721	MLNR
ENST00000241453	FLT3
ENST00000262198	ADNP2
ENST00000251900	SCML2
ENST00000269187	SLC39A6
ENST00000218230	PCSK1N
ENST00000253039	EIF2S3
ENST00000252934	ATXN10
ENST00000218436	ITIH6
ENST00000216214	FAM118A
ENST00000216267	BRD1
ENST00000216264	CERK
ENST00000222725	LFNG
ENST00000262879	RALGAPB
ENST00000265857	GET4
ENST00000199389	EIF2AK1
ENST00000216200	PVALB
ENST00000244061	RNF114
ENST00000265849	PMS2
ENST00000217740	RNF125
ENST00000242839	ATP7B
ENST00000248114	GFER
ENST00000248933	SEZ6L
ENST00000262041	MEOX2
ENST00000219476	TSC2
ENST00000258796	TTYH3
ENST00000223029	AIMP2
ENST00000263245	ARFGAP3
ENST00000255476	RFXAP
ENST00000215530	FGF22
ENST00000243911	MC3R
ENST00000166139	FSTL3
ENST00000249064	CCDC117
ENST00000217426	AHCY
ENST00000216115	BIK
ENST00000241463	RASL11A
ENST00000181383	CPB2
ENST00000233997	AZU1
ENST00000266254	TTLL1
ENST00000261326	MOCOS
ENST00000251127	NALCN
ENST00000173898	TRO
ENST00000244043	PTGIS
ENST00000215909	LGALS1
ENST00000268989	SGSM2
ENST00000257336	BIVM
ENST00000155840	KCNQ1
ENST00000262067	TSPAN13
ENST00000253255	PKDREJ
ENST00000215941	ANKRD54
ENST00000254436	TRIM21
ENST00000223129	RPA3
ENST00000258662	NUDT15
ENST00000258648	MED4
ENST00000256509	CHL1
ENST00000267163	RB1
ENST00000218867	SGCG
ENST00000064571	CBLN4
ENST00000267229	RBM26
ENST00000206020	SPAG7
ENST00000262120	TWSG1
ENST00000246194	RALY
ENST00000255448	DCLK1
ENST00000268661	RPL3L
ENST00000218548	ATP12A
ENST00000263094	ABCA7
ENST00000254695	RAP1GAP2
ENST00000215368	EFNA2
ENST00000244050	SNAI1
ENST00000158771	DERL2
ENST00000262482	RNF167
ENST00000155858	TRPM5
ENST00000263253	EP300
ENST00000225525	TAX1BP3
ENST00000262319	TELO2
ENST00000263620	ARID3A
ENST00000256433	IER3IP1
ENST00000216225	RBX1
ENST00000262752	RPS6KA6
ENST00000215885	PLA2G3
ENST00000216177	PNPLA5
ENST00000252115	POLDIP3
ENST00000216862	CYP24A1
ENST00000234389	GRIN3B
ENST00000253697	C3orf20
ENST00000269142	TAF4B
ENST00000216962	PYGB
ENST00000262753	POF1B
ENST00000158166	CAMKK1
ENST00000263097	CNN2
ENST00000266269	PATZ1
