A0A075B6U7 TRAJ23
A0A2R8YED5 OR5BS1P
A2RRL7 TMEM213
A8MYZ6 FOXO6
O14804 TAAR5
O75459 PAGE1
O75912 DGKI
O94855 SEC24D
P07099 EPHX1
P0C7X3 CCNYL3
P0C851 PIRT
P12757 SKIL
P16118 PFKFB1
P19013 KRT4
P19838 NFKB1
P30044 PRDX5
P31275 HOXC12
P31930 UQCRC1
P35716 SOX11
P41227 NAA10
P45381 ASPA
P48552 NRIP1
P60153 RNASE9
P78344 EIF4G2
Q02413 DSG1
Q0P670 SPEM2
Q13069 GAGE5
Q13387 MAPK8IP2
Q13480 GAB1
Q13519 PNOC
Q5MIZ7 PPP4R3B
Q5SW24 DACT2
Q5TBC7 BCL2L15
Q5TCQ9 MAGI3
Q5TYX0 PRAMEF5
Q5VZ52 MORN5
Q64ET8 FRG2
Q6ISB3 GRHL2
Q6P531 GGT6
Q6UWI4 SHISA2
Q6ZSY5 PPP1R3F
Q70Z44 HTR3D
Q7RTV5 PRXL2C
Q7Z3S7 CACNA2D4
Q7Z5D8 NANOGNB
Q86TB3 ALPK2
Q86US8 SMG6
Q86UY6 NAA40
Q86YV9 HPS6
Q86YZ3 HRNR
Q8IUA0 WFDC8
Q8IYS5 OSCAR
Q8N8G6 C15orf54
Q8NC01 CLEC1A
Q8NHC6 OR14L1P
Q8WZ42 TTN
Q92819 HAS2
Q92918 MAP4K1
Q96BT1 C3orf49
Q96MC9 C1orf147
Q96MS3 GLT1D1
Q96SQ7 ATOH8
Q99990 VGLL1
Q9H208 OR10A2
Q9H257 CARD9
Q9H336 CRISPLD1
Q9NRL2 BAZ1A
Q9NX14 NDUFB11
Q9NYH9 UTP6
Q9P0I2 EMC3
Q9P2D0 IBTK
Q9P2J2 IGSF9
Q9UBS4 DNAJB11
Q9UET6 FTSJ1
Q9UKM7 MAN1B1
Q9ULW5 RAB26
Q9Y265 RUVBL1
Q9Y330 ZBTB12
Q9Y462 ZNF711
Q9Y6X1 SERP1
A0A075B6I3 IGLV11-55
A0A0A0MT97 TRGJP1
A0A1B0GTH9 LOC100505841
A6NMZ5 OR4C45
C9J3I9 C5orf58
O00339 MATN2
O15519 CFLAR
O43242 PSMD3
O60524 NEMF
O75820 ZNF189
O95045 UPP2
O95382 MAP3K6
O95497 VNN1
O96015 DNAL4
P04070 PROC
P08069 IGF1R
P08758 ANXA5
P0C7M4 RHOXF2B
P13010 XRCC5
P13569 CFTR
P15884 TCF4
P17752 TPH1
P18075 BMP7
P22612 PRKACG
P23527 H2BC17
P25713 MT3
P29474 NOS3
P32189 GK
P35221 CTNNA1
P35527 KRT9
P36969 GPX4
P38432 COIL
P41222 PTGDS
P48595 SERPINB10
P55808 XG
P60903 S100A10
Q13049 TRIM32
Q15382 RHEB
Q16572 SLC18A3
Q1EHB4 SLC5A12
Q32NC0 C18orf21
Q4G0S4 CYP27C1
Q53GQ0 HSD17B12
Q5T753 LCE1E
Q5VZF2 MBNL2
Q6EMB2 TTLL5
Q6NVY1 HIBCH
Q6NW40 RGMB
Q6RFH8 DUX4L9
Q6ZMU5 TRIM72
Q7L3V2 RTL10
Q7Z3H0 ANKRD33
Q7Z4U5 C6orf201
Q86Y39 NDUFA11
Q8IY21 DDX60
Q8N865 C7orf31
Q8N9T2 NKAPP1
Q8TDH9 BLOC1S5
Q8TDR0 TRAF3IP1
Q8WU03 GLYATL2
Q92617 NPIPB3
Q92834 RPGR
