ENST00000330271 Q5JWF8
ENST00000268138 Q7Z2Z1
ENST00000322875 P15529
ENST00000317907 Q6P3X3
ENST00000291526 Q03403
ENST00000315489 Q3SX64
ENST00000329903 Q16280
ENST00000309137 Q9GZU8
ENST00000253801 P35575
ENST00000299565 P30532
ENST00000078445 Q68CJ9
ENST00000305105 O43257
ENST00000288065 Q5T9G4
ENST00000304800 Q9BTX3
ENST00000231004 P28300
ENST00000309446 O75840
ENST00000310127 O60423
ENST00000300055 O60240
ENST00000300056 O75192
ENST00000267015 Q9NQS5
ENST00000296484 Q8NBT0
ENST00000289746 P55291
ENST00000308344 P56746
ENST00000300576 A6NDK9
ENST00000267569 Q8WYK2
ENST00000286639 Q16520
ENST00000259938 P04118
ENST00000290871 Q6URK8
ENST00000256319 Q9UKR5
ENST00000238667 Q9UPI3
ENST00000238628 Q96FT9
ENST00000295694 Q9BSE2
ENST00000298832 Q6EMB2
ENST00000217909 Q8WUT9
ENST00000290438 Q9NYA3
ENST00000317881 P05141
ENST00000217926 Q7Z2G1
ENST00000299237 Q9P2F9
ENST00000317943 Q96I36
ENST00000317551 Q8N5B7
ENST00000226225 Q13829
ENST00000333129 Q5HY92
ENST00000225873 O00623
ENST00000272895 Q86UK0
ENST00000299798 Q14940
ENST00000323348 Q9H8Y5
ENST00000271373 O95563
ENST00000248437 P68366
ENST00000295759 Q6UWU2
ENST00000215531 O75264
ENST00000245908 Q9BRG2
ENST00000308508 Q6UVK1
ENST00000310833 P28906
ENST00000332145 Q8IXM7
ENST00000292114 Q8N511
ENST00000333651 Q9P0W2
ENST00000329493 A6NCJ1
ENST00000308660 Q86UD3
ENST00000294742 O15511
ENST00000333371 Q9H267
ENST00000329196 Q8IUH8
ENST00000182527 Q15035
ENST00000308641 Q8WW27
ENST00000304685 Q9NZL6
ENST00000264649 Q93050
ENST00000271375 O95562
ENST00000298296 Q8TD91
ENST00000308275 Q8NEZ5
ENST00000285879 O60732
ENST00000247452 Q9UBF1
ENST00000235307 Q9H246
ENST00000335565 Q9H156
ENST00000318130 Q9BZQ6
ENST00000295640 Q9H4A4
ENST00000258888 Q96L96
ENST00000316292 P68104
ENST00000230361 Q9UMX6
ENST00000287097 Q6YHK3
ENST00000268042 Q8NCT1
ENST00000329281 Q9H2G9
ENST00000205061 Q92896
ENST00000330317 P57081
ENST00000263956 Q9Y5Q9
ENST00000262970 Q8TF21
ENST00000221847 Q14213
ENST00000301272 Q96BF3
ENST00000322507 Q99715
ENST00000298542 Q6ZUT3
ENST00000311124 P41440
ENST00000221856 Q9BTV5
ENST00000301981 Q86X40
ENST00000241651 P15173
ENST00000262424 Q9H0B8
ENST00000325464 Q9Y2X0
ENST00000255416 Q13203
ENST00000286186 Q92851
ENST00000319416 Q5T0J7
ENST00000329291 Q6P3X8
ENST00000200652 Q9H015
ENST00000315392 Q8IUK5
ENST00000234816 O95841
ENST00000263268 Q8N565
ENST00000321442 Q9H9B4
ENST00000259746 Q5T3F8
ENST00000258180 O60268
ENST00000303329 Q9HBZ2
ENST00000237172 Q7Z7B0
ENST00000258975 Q9BSH4
ENST00000263733 O75063
ENST00000292609 Q96PD5
ENST00000265097 Q96J01
ENST00000269703 Q6NT55
ENST00000258884 Q6PCB6
ENST00000220244 Q8WUJ3
ENST00000234371 Q969F8
ENST00000268070 Q8TE56
ENST00000269586 A6NH57
ENST00000273067 Q9P2E8
ENST00000310125 Q5H9I0
ENST00000253458 Q14687
ENST00000225726 Q96A33
ENST00000253490 P0C7A2
ENST00000305899 O60403
ENST00000248041 Q9HBI6
ENST00000221700 P78329
ENST00000298569 Q96A73
ENST00000310389 Q8N8L6
ENST00000310418 P09497
ENST00000274787 Q9BW72
ENST00000322107 Q8NGA5
ENST00000274811 Q7L0R7
ENST00000303991 Q7Z2K8
ENST00000269878 Q96Q77
ENST00000303251 Q969Q5
ENST00000248071 Q9Y5W3
ENST00000303127 Q12907
ENST00000324417 Q06495
ENST00000323249 Q8TB68
ENST00000332800 P01242
ENST00000309894 Q14406
ENST00000318471 O00628
ENST00000293303 Q6JEL2
ENST00000262850 Q5VZM2
ENST00000312504 B2RUY7
ENST00000332142 Q9NS40
ENST00000331683 Q8N0X2
ENST00000219406 Q13087
ENST00000249330 O15240
ENST00000254900 Q9H0E9
ENST00000332810 Q8WTP8
ENST00000318833 Q96NJ6
ENST00000221496 P03971
ENST00000226230 Q5BJF2
ENST00000254166 P52740
ENST00000264819 Q8N344
ENST00000306910 Q8IVC4
ENST00000238831 Q9BSR8
ENST00000306151 Q685J3
ENST00000262971 Q8N2W9
ENST00000263100 P04217
ENST00000311044 Q6ZNH5
ENST00000260762 Q8TAG9
ENST00000008391 Q7Z6R9
ENST00000253122 P48029
ENST00000329665 P10073
ENST00000290776 Q96FN4
ENST00000314144 Q92526
ENST00000289619 Q96GU1
ENST00000322886 Q96AV8
ENST00000321562 Q96AY3
ENST00000314391 Q8NEA5
ENST00000288670 Q96PY5
ENST00000312026 Q8TAU3
ENST00000280258 O95084
ENST00000258955 Q9HA92
ENST00000302334 Q13515
ENST00000225941 Q9P2A4
ENST00000261593 Q8WVD3
ENST00000321871 Q6UXF1
ENST00000262894 Q9UK10
ENST00000321110 Q8N8U3
ENST00000286794 Q9BSU3
ENST00000317357 A7XYQ1
ENST00000284476 Q96F81
ENST00000254928 O75616
ENST00000259154 Q9Y597
ENST00000316836 Q8ND90
ENST00000329245 Q969P6
ENST00000262146 Q15390
ENST00000269051 P58872
ENST00000292586 Q6NTE8
ENST00000246532 Q9H665
ENST00000307786 Q8TD86
ENST00000258991 Q8IWB9
ENST00000215555 Q9P0N8
ENST00000292778 A8MPS7
ENST00000310991 Q8NDY8
ENST00000304084 Q9BXN2
ENST00000225729 P55039
ENST00000275227 Q6NT16
ENST00000304613 Q76NI1
ENST00000334701 P07900
ENST00000294811 Q96LT6
ENST00000321535 Q8N4B4
ENST00000291182 Q14590
ENST00000256858 Q9P260
