ENST00000390247 A0/A0/75B6H7/swissmodel/18_116_5wt9.1.B
ENST00000390278 A0/A0/75B6H8/swissmodel/23_117_5e08.1.B
ENST00000390282 A0/A0/75B6H9/swissmodel/21_119_5ifj.3.B
ENST00000390283 A0/A0/75B6I0/swissmodel/27_118_4r90.1.A
ENST00000390284 A0/A0/75B6I1/swissmodel/22_118_6a4k.1.C
ENST00000390286 A0/A0/75B6I3/swissmodel/21_122_6iek.1.C
ENST00000390287 A0/A0/75B6I4/swissmodel/19_117_3fku.1.I
ENST00000390291 A0/A0/75B6I6/swissmodel/20_117_5w6c.1.B
ENST00000390293 A0/A0/75B6I7/swissmodel/22_105_6iek.1.C
ENST00000390295 A0/A0/75B6I9/swissmodel/20_116_6mts.1.B
ENST00000390300 A0/A0/75B6J1/swissmodel/21_122_6iea.1.B
ENST00000390302 A0/A0/75B6J2/swissmodel/21_118_5n4j.1.A
ENST00000390307 A0/A0/75B6J6/swissmodel/23_114_6phd.1.B
ENST00000390310 A0/A0/75B6J9/swissmodel/20_118_4y5y.1.B
ENST00000390311 A0/A0/75B6K0/swissmodel/20_115_4qf1.2.B
ENST00000390313 A0/A0/75B6K2/swissmodel/20_115_6iec.1.C
ENST00000390315 A0/A0/75B6K4/swissmodel/20_115_4qf1.2.B
ENST00000390316 A0/A0/75B6K5/swissmodel/20_115_6iec.1.C
ENST00000390318 A0/A0/75B6K6/swissmodel/22_120_2gsg.1.A
ENST00000390393 A0/A0/75B6N1/swissmodel/20_114_2axh.1.A
ENST00000390394 A0/A0/75B6N2/swissmodel/16_111_3o4l.1.D
ENST00000390397 A0/A0/75B6N3/swissmodel/21_114_6eh6.1.B
ENST00000390398 A0/A0/75B6N4/swissmodel/20_114_2cdf.1.B
ENST00000482769 A0/A0/75B6P5/swissmodel/21_120_6c9u.1.B
ENST00000454421 A0/A0/75B6Q5/swissmodel/21_118_5u68.1.D
ENST00000426402 A0/A0/75B6R0/swissmodel/24_117_4mnh.2.A
ENST00000455737 A0/A0/75B6R2/swissmodel/20_117_5gzo.1.B
ENST00000462693 A0/A0/75B6R9/swissmodel/17_120_5iwl.1.A
ENST00000491977 A0/A0/75B6S2/swissmodel/22_120_5chn.1.B
ENST00000483379 A0/A0/75B6S4/swissmodel/23_117_5dwu.1.D
ENST00000498435 A0/A0/75B6S5/swissmodel/23_117_6cr1.1.A
ENST00000474213 A0/A0/75B6S6/swissmodel/10_120_5iwl.1.A
ENST00000465170 A0/A0/75B6S9/swissmodel/24_117_6qd8.1.A
ENST00000390437 A0/A0/75B6T6/swissmodel/23_113_6am5.1.D
ENST00000390428 A0/A0/75B6T7/swissmodel/42_131_5ksb.1.C
ENST00000390431 A0/A0/75B6T8/swissmodel/20_112_6cug.1.C
ENST00000390429 A0/A0/75B6U4/swissmodel/22_111_4pri.1.D
ENST00000390463 A0/A0/75B6V5/swissmodel/22_112_5d7k.1.A
ENST00000390451 A0/A0/75B6W5/swissmodel/22_120_5til.2.C
ENST00000390446 A0/A0/75B6X5/swissmodel/21_110_6c68.1.A
ENST00000390296 A0/A0/87WSX0/swissmodel/21_122_6id4.1.D
ENST00000438142 A0/A0/87WSY4/swissmodel/21_118_5xwd.1.B
ENST00000417279 A0/A0/87WSY6/swissmodel/21_115_6dkj.1.B
ENST00000471857 A0/A0/87WSZ0/swissmodel/23_117_5od8.1.B
ENST00000557168 A0/A0/87WSZ9/swissmodel/23_112_6mtm.1.C
ENST00000390457 A0/A0/87WT01/swissmodel/20_109_5hho.1.C
ENST00000390441 A0/A0/87WT02/swissmodel/20_112_4qrp.3.A
ENST00000390455 A0/A0/87WT03/swissmodel/20_109_5wki.1.C
ENST00000390268 A0/A0/A0MRZ7/swissmodel/17_120_5iwl.1.A
ENST00000390277 A0/A0/A0MRZ8/swissmodel/18_114_5wt9.1.B
ENST00000390289 A0/A0/A0MRZ9/swissmodel/21_122_6iek.1.C
ENST00000390303 A0/A0/A0MS00/swissmodel/20_111_6fxn.1.G
ENST00000390621 A0/A0/A0MS14/swissmodel/20_117_6ol6.1.C
ENST00000390625 A0/A0/A0MS15/swissmodel/20_119_6bpc.1.B
ENST00000436451 A0/A0/A0MT36/swissmodel/20_114_5bvj.1.A
ENST00000390440 A0/A0/A6YYC5/swissmodel/23_116_4g9f.1.D
ENST00000390371 A0/A0/A6YYG2/swissmodel/21_114_5men.1.D
ENST00000390376 A0/A0/A6YYG3/swissmodel/21_113_5men.1.D
ENST00000390435 A0/A0/A6YYJ7/swissmodel/21_113_4z7w.1.C
ENST00000390430 A0/A0/A6YYK1/swissmodel/21_112_4z7w.1.C
ENST00000390444 A0/A0/A6YYK6/swissmodel/20_109_6fra.1.A
ENST00000390447 A0/A0/A6YYK7/swissmodel/22_116_6bj2.1.A
ENST00000390301 A0/A0/B4J1U3/swissmodel/20_115_6mid.1.H
ENST00000390344 A0/A0/B4J1U4/swissmodel/26_118_4ndm.1.A
ENST00000390363 A0/A0/B4J1U6/swissmodel/20_114_3mv7.1.E
ENST00000390593 A0/A0/B4J1U7/swissmodel/21_121_3h0t.1.B
ENST00000390603 A0/A0/B4J1V0/swissmodel/20_119_6ca9.1.B
ENST00000390607 A0/A0/B4J1V1/swissmodel/20_117_5u68.1.D
ENST00000390611 A0/A0/B4J1V2/swissmodel/20_119_3qrg.1.B
ENST00000390636 A0/A0/B4J1V6/swissmodel/20_118_5aum.1.A
ENST00000390639 A0/A0/B4J1V7/swissmodel/20_117_6b5p.1.B
ENST00000424969 A0/A0/B4J1X5/swissmodel/20_117_5u68.1.D
ENST00000434710 A0/A0/B4J1X8/swissmodel/20_117_6j6y.1.B
ENST00000427632 A0/A0/B4J1Y8/swissmodel/20_123_6pcu.1.B
ENST00000433072 A0/A0/B4J1Y9/swissmodel/20_119_5u68.1.D
ENST00000468879 A0/A0/B4J1Z2/swissmodel/24_117_5ggu.1.B
ENST00000390424 A0/A0/B4J234/swissmodel/8_109_6mn7.1.G
ENST00000390439 A0/A0/B4J235/swissmodel/22_111_3pl6.1.C
ENST00000390434 A0/A0/B4J237/swissmodel/20_113_6fun.1.A
ENST00000390423 A0/A0/B4J238/swissmodel/18_106_4g8e.1.A
ENST00000390432 A0/A0/B4J240/swissmodel/23_114_3tzv.2.A
ENST00000390436 A0/A0/B4J241/swissmodel/21_112_3pl6.1.C
ENST00000390425 A0/A0/B4J244/swissmodel/21_114_3rev.1.A
ENST00000390433 A0/A0/B4J245/swissmodel/23_111_3skn.1.A
ENST00000542354 A0/A0/B4J248/swissmodel/19_108_4lcc.1.B
ENST00000390427 A0/A0/B4J249/swissmodel/23_113_2ypl.1.D
ENST00000390443 A0/A0/B4J262/swissmodel/20_113_6fra.1.A
ENST00000390466 A0/A0/B4J263/swissmodel/19_109_4jry.1.D
ENST00000390464 A0/A0/B4J264/swissmodel/16_114_5jzi.2.D
ENST00000390460 A0/A0/B4J265/swissmodel/18_109_4z7u.1.C
ENST00000390468 A0/A0/B4J266/swissmodel/25_112_1kb5.1.A
ENST00000390426 A0/A0/B4J268/swissmodel/23_109_4ozi.2.C
ENST00000390442 A0/A0/B4J271/swissmodel/27_114_4wwk.1.A
ENST00000390453 A0/A0/B4J272/swissmodel/23_114_6cqr.2.D
ENST00000390461 A0/A0/B4J273/swissmodel/24_111_5wkh.1.D
ENST00000390448 A0/A0/B4J274/swissmodel/22_112_5ksa.1.C
ENST00000390445 A0/A0/B4J275/swissmodel/29_112_6dfx.1.C
ENST00000390454 A0/A0/B4J276/swissmodel/20_109_5hho.1.C
ENST00000390450 A0/A0/B4J277/swissmodel/21_110_4udt.1.A
ENST00000390449 A0/A0/B4J279/swissmodel/20_112_3vxq.1.A
ENST00000390467 A0/A0/B4J280/swissmodel/20_104_4qrp.1.C
ENST00000390256 A0/A0/C4DH24/swissmodel/20_114_5bvj.1.A
ENST00000390270 A0/A0/C4DH25/swissmodel/21_116_1qlr.1.A
ENST00000390271 A0/A0/C4DH26/swissmodel/21_115_5gir.1.B
ENST00000390343 A0/A0/C4DH27/swissmodel/26_117_4mng.1.C
ENST00000390345 A0/A0/C4DH28/swissmodel/26_117_4mng.1.C
ENST00000390595 A0/A0/C4DH29/swissmodel/20_117_6ol6.1.C
ENST00000390604 A0/A0/C4DH30/swissmodel/19_117_6bpe.1.B
ENST00000390605 A0/A0/C4DH31/swissmodel/20_117_6rcs.1.A
ENST00000390606 A0/A0/C4DH32/swissmodel/20_117_6j6y.2.B
ENST00000390610 A0/A0/C4DH33/swissmodel/20_116_6iek.1.B
ENST00000390612 A0/A0/C4DH34/swissmodel/20_117_6r2s.1.B
ENST00000390617 A0/A0/C4DH35/swissmodel/20_117_5vob.1.F
ENST00000390618 A0/A0/C4DH36/swissmodel/20_115_6j6y.2.B
ENST00000390626 A0/A0/C4DH38/swissmodel/20_117_5i1l.2.B
ENST00000390628 A0/A0/C4DH39/swissmodel/20_117_6mg7.1.C
ENST00000390630 A0/A0/C4DH41/swissmodel/20_118_5utz.1.A
ENST00000390632 A0/A0/C4DH42/swissmodel/20_116_6j6y.2.B
ENST00000390634 A0/A0/C4DH43/swissmodel/20_118_6apb.1.D
ENST00000454561 A0/A0/C4DH59/swissmodel/21_114_6bj2.1.B
ENST00000495489 A0/A0/C4DH67/swissmodel/22_115_5ggu.1.B
