transcript,gene,bp,all,syn,mis,non,splice_site,frameshift,,,
NM_017582,UBE2Q1,1269,-4.7680,-5.2654,-4.9809,-6.1980,-6.2709,-6.0949,,,
NM_014372,RNF11,465,-5.1251,-5.6370,-5.3151,-6.6037,-7.0715,-6.5309,,,
NM_014455,RNF115,915,-4.9092,-5.5012,-5.0788,-6.3393,-6.4484,-6.2369,,,
NM_001357,DHX9,3813,-4.2966,-4.9187,-4.4646,-5.5248,-5.9450,-5.6170,,,
NM_001101376,FAM183A,405,-5.2266,-5.8034,-5.3921,-6.5424,NA,-6.5909,,,
NM_001042549,NSL1,642,-5.0230,-5.5779,-5.2049,-6.3905,-6.7514,-6.3908,,,
NM_006912,RIT1,660,-4.9816,-5.6739,-5.1238,-6.2206,-6.7582,-6.3788,,,
NM_014856,DENND4B,4491,-4.1279,-4.6960,-4.2836,-5.6404,NA,-5.5460,,,
NM_012396,PHLDA3,384,-4.9692,-5.4486,-5.1542,-6.8854,-7.6975,-6.6140,,,
NM_152902,TIPRL,819,-4.9332,-5.4691,-5.1267,-6.2855,-6.5841,-6.2850,,,
NM_019099,FAM212B,894,-4.8613,-5.4743,-5.0134,-6.1881,-7.3525,-6.2470,,,
NM_021958,HLX,1467,-4.4694,-4.9039,-4.6873,-6.1258,-6.8705,-6.0319,,,
NM_018178,GOLPH3L,858,-4.9284,-5.5794,-5.0892,-6.0603,-6.8821,-6.2648,,,
NM_001826,CKS1B,240,-5.3761,-5.9051,-5.5762,-6.7094,-7.0542,-6.8181,,,
NM_057090,ARTN,687,-5.0677,-5.5213,-5.2829,-6.5640,-7.3680,-6.3614,,,
NM_003196,TCEA3,1047,-4.8033,-5.3657,-4.9605,-6.3777,-7.5234,-6.1784,,,
NM_012421,RLF,5745,-4.1638,-4.7365,-4.3308,-5.4907,-6.5123,-5.4390,,,
NM_144699,ATP1A4,3090,-4.3106,-4.8542,-4.4936,-5.7592,-5.9714,-5.7084,,,
NM_000702,ATP1A2,3063,-4.2647,-4.8021,-4.4438,-5.7963,-6.0065,-5.7122,,,
NM_001160233,ATP1A1,3072,-4.3378,-4.8837,-4.5176,-5.8142,-6.0219,-5.7109,,,
NM_001937,DPT,606,-5.0176,-5.5941,-5.1934,-6.3051,-6.8670,-6.4158,,,
NM_014652,IPO13,2892,-4.3790,-4.9279,-4.5628,-5.7834,-6.0229,-5.7371,,,
NM_001162536,RBMXL1,1173,-4.7543,-5.4191,-4.8988,-5.9425,-7.9575,-6.1290,,,
NM_032852,ATG4C,1377,-4.8024,-5.3944,-4.9814,-6.0551,-6.4008,-6.0594,,,
NM_000186,CFH,3696,-4.3277,-4.9202,-4.4970,-5.6772,-5.9870,-5.6306,,,
NM_001531,MR1,1026,-4.8307,-5.3736,-5.0208,-6.1996,-6.4636,-6.1872,,,
NM_001040709,SYPL2,819,-4.9422,-5.4584,-5.1305,-6.4362,-6.8040,-6.2850,,,
NM_000449,RFX5,1851,-4.5877,-5.1853,-4.7514,-5.9633,-6.3271,-5.9309,,,
NM_001010867,IBA57,1071,-4.8312,-5.3391,-5.0226,-6.2279,-7.1937,-6.1685,,,
NM_001004341,ETV3L,1086,-4.7905,-5.3162,-4.9799,-6.2213,-6.5505,-6.1625,,,
NM_006559,KHDRBS1,1332,-4.7435,-5.2958,-4.9170,-6.2688,-6.4777,-6.0738,,,
NM_017953,ZNHIT6,1413,-4.7208,-5.3015,-4.8910,-6.1182,-6.4056,-6.0482,,,
NM_025150,TARS2,2157,-4.4614,-5.0460,-4.6324,-5.8313,-6.1195,-5.8645,,,
NM_002060,GJA4,1002,-4.7219,-5.2533,-4.8939,-6.2367,-7.7735,-6.1974,,,
NM_005266,GJA5,1077,-4.7498,-5.3116,-4.9152,-6.1455,-7.7632,-6.1661,,,
NM_005267,GJA8,1302,-4.6079,-5.0849,-4.8007,-6.2422,-7.7004,-6.0837,,,
NM_030772,GJA9,1548,-4.7373,-5.3119,-4.9007,-6.0812,-7.6329,-6.0085,,,
NM_020365,EIF2B3,1359,-4.7550,-5.3546,-4.9214,-6.1458,-6.3550,-6.0651,,,
NM_006472,TXNIP,1176,-4.7775,-5.3688,-4.9471,-6.1057,-6.5045,-6.1279,,,
NM_001013615,LURAP1,720,-4.9046,-5.4201,-5.0912,-6.3117,-7.3395,-6.3410,,,
NM_005666,CFHR2,813,-5.0160,-5.6186,-5.1838,-6.3186,-6.7579,-6.2882,,,
NM_001048183,PHACTR4,2109,-4.5443,-5.1383,-4.7129,-5.9095,-6.1837,-5.8742,,,
NM_013943,CLIC4,762,-5.0123,-5.5432,-5.1918,-6.7125,-6.6602,-6.3164,,,
NM_002113,CFHR1,993,-4.8739,-5.5003,-5.0397,-6.1435,-6.4717,-6.2014,,,
NM_001201550,CFHR4,1737,-4.9126,-5.4820,-5.0935,-6.2840,-6.4810,-5.9585,,,
