ENST00000322209 A0/A0/24RBG1/swissmodel/9_147_2duk.1.A
ENST00000581164 A0/A0/75B759/swissmodel/1_164_4n1s.1.A
ENST00000584068 A0/A0/75B767/swissmodel/1_164_4n1s.1.A
ENST00000618699 A0/A0/87WTH5/swissmodel/4_132_2k21.1.A
ENST00000651166 A0/A0/87WV53/swissmodel/18_238_5vkm.1.A
ENST00000616101 A0/A0/87WVF3/swissmodel/45_342_4p17.1.A
ENST00000621034 A0/A0/87WXS9/swissmodel/45_342_4p17.1.A
ENST00000620247 A0/A0/87X1G2/swissmodel/45_342_4p17.1.A
ENST00000483273 A0/A0/96LP55/swissmodel/14_91_1l0l.1.H
ENST00000439682 A0/A0/A6YYL3/swissmodel/74_358_5vkq.1.A
ENST00000585245 A0/A0/B4J2A2/swissmodel/1_164_5t9u.4.A
ENST00000620528 A0/A0/B4J2D5/swissmodel/44_265_1vhq.1.A
ENST00000636176 A0/A1/B0GTL2/swissmodel/22_141_5j12.1.A
ENST00000638137 A0/A1/B0GUS4/swissmodel/1_154_3sy2.1.B
ENST00000636079 A0/A1/B0GVG4/swissmodel/66_188_3u59.3.A
ENST00000637878 A0/A1/B0GWK0/swissmodel/6_132_2os8.1.C
ENST00000639810 A0/A1/W2PP97/swissmodel/16_75_6oy6.1.D
ENST00000621179 A0/A1/W2PR19/swissmodel/2_233_2c3n.1.A
ENST00000561754 A0/A1/W2PR48/swissmodel/131_441_2ce9.2.A
ENST00000641568 A0/A2/86YFK9/swissmodel/3_42_2na8.1.A
ENST00000322244 A0/AV/T1/swissmodel/38_1047_6dc6.2.A
ENST00000389567 A0/FG/R9/swissmodel/114_585_4p42.1.A
ENST00000444610 A0/PJ/E2/swissmodel/28_315_3rd5.1.A
ENST00000395647 A0/PJ/K1/swissmodel/15_541_5nv9.1.A
ENST00000288861 A0/PJ/X0/swissmodel/9_180_2l4h.1.A
ENST00000602922 A0/PJ/X2/swissmodel/50_215_4acj.1.A
ENST00000522154 A1/A4/Y4/swissmodel/2_179_1tq6.1.A
ENST00000332826 A1/A5/B4/swissmodel/31_744_6p47.1.A
ENST00000263383 A1/L0/T0/swissmodel/50_627_3iae.1.A
ENST00000546076 A1/L1/57/swissmodel/12_250_5tcx.1.A
