uniprot_id	n_sites	mean_d	permuted_d	p_value
A1L3X0	1	0.00	0.00	0.0010
A1Z1Q3	13	15.30	20.46	0.0070
A4D126	12	14.93	30.72	0.0010
A4D1P6	6	16.78	20.91	0.0829
A4D2B0	64	19.64	21.00	0.0320
A6ND01	22	10.40	20.78	0.0010
A6NGN9	63	25.70	44.24	0.0010
A6NIH7	8	14.93	19.38	0.0180
A6NK06	1	0.00	0.00	0.0010
A6NLU0	8	11.00	18.09	0.0020
A8MT69	3	13.41	13.61	0.4645
A8MYU2	1	0.00	0.00	0.0010
B1AL88	7	11.35	20.85	0.0020
O00139	100	19.86	32.47	0.0010
O00141	9	14.04	22.64	0.0010
O00154	15	10.62	20.41	0.0010
O00167	23	14.79	23.62	0.0010
O00168	5	5.05	21.43	0.0010
O00180	12	10.11	26.49	0.0010
O00182	1	0.00	0.00	0.0010
O00189	1	0.00	0.00	0.0010
O00198	30	16.28	17.03	0.0110
O00204	9	14.49	21.70	0.0010
O00206	2	10.09	20.59	0.1668
O00214	1	0.00	0.00	0.0010
O00217	11	19.11	31.97	0.0280
O00222	1	0.00	0.00	0.0010
O00231	24	26.28	38.53	0.0010
O00232	16	19.88	42.84	0.0010
O00238	7	12.30	22.27	0.0020
O00253	1	0.00	0.00	0.0010
O00264	12	8.95	15.99	0.0010
O00267	39	44.42	51.36	0.0150
O00294	10	9.93	20.61	0.0010
O00299	1	0.00	0.00	0.0010
O00303	25	14.39	34.35	0.0010
O00308	15	12.82	28.57	0.0010
O00311	4	12.59	21.37	0.0310
O00329	154	34.06	40.90	0.0010
O00399	4	4.30	14.32	0.0010
O00408	114	40.17	54.86	0.0010
O00410	45	34.08	46.22	0.0010
O00411	11	22.48	38.79	0.0010
O00422	20	14.53	22.54	0.0010
O00423	41	23.10	34.56	0.0010
O00429	70	53.43	59.15	0.0190
O00445	9	8.50	17.58	0.0010
O00451	75	17.55	26.60	0.0010
O00482	2	2.70	11.99	0.0080
O00487	63	17.13	36.11	0.0010
O00488	16	17.65	22.46	0.0340
O00499	2	2.92	34.63	0.0130
O00506	40	18.54	24.65	0.0010
O00548	69	32.07	42.98	0.0010
O00560	1	0.00	0.00	0.0010
O00629	34	23.92	34.98	0.0010
O00764	41	19.10	25.51	0.0010
O00767	39	15.64	25.09	0.0010
O14508	16	13.18	20.17	0.0010
O14519	21	10.75	17.93	0.0010
O14520	1	0.00	0.00	0.0010
O14531	5	18.31	23.18	0.1209
O14556	1	0.00	0.00	0.0010
O14558	26	20.98	19.65	0.8531
O14579	3	16.69	17.75	0.4316
O14593	1	0.00	0.00	0.0010
O14595	15	10.27	19.95	0.0010
O14618	2	3.33	16.42	0.0300
O14638	1	0.00	0.00	0.0010
O14649	162	28.24	30.74	0.0010
O14672	48	20.82	29.48	0.0010
O14684	28	17.35	23.11	0.0010
O14717	1	0.00	0.00	0.0010
O14727	10	16.67	45.98	0.0010
O14732	20	12.03	22.04	0.0010
O14733	62	19.29	26.81	0.0010
O14744	52	34.47	38.24	0.0220
O14746	231	43.68	44.56	0.1229
O14757	1	0.00	nan	0.0010
O14773	2	9.67	14.89	0.2128
O14786	2	8.24	15.18	0.1608
O14788	4	7.88	15.94	0.0030
O14792	24	10.51	23.84	0.0010
O14802	35	26.56	53.86	0.0010
O14810	2	5.84	13.25	0.2408
O14818	62	17.11	23.93	0.0010
O14842	14	9.40	35.43	0.0010
O14862	1	0.00	0.00	0.0010
O14907	3	4.12	13.12	0.0010
O14917	42	59.67	62.66	0.2318
O14920	43	36.67	46.04	0.0030
O14931	2	10.58	9.55	0.6114
O14936	134	23.75	25.95	0.0010
O14949	6	17.64	30.31	0.0230
O14966	8	12.61	17.99	0.0090
O14980	188	40.64	47.10	0.0010
O15033	3	18.12	19.86	0.3836
O15066	23	20.34	24.87	0.0060
O15075	70	20.35	25.75	0.0010
O15091	1	0.00	0.00	0.0010
O15111	39	18.40	45.41	0.0010
O15118	6	36.17	44.78	0.1638
O15123	10	9.32	19.51	0.0010
O15143	26	26.11	25.27	0.6963
O15144	16	27.31	28.04	0.4346
O15178	11	12.20	20.63	0.0010
O15194	17	14.51	21.08	0.0010
O15229	9	14.90	25.01	0.0010
O15239	12	15.77	22.78	0.0150
O15247	11	12.36	22.55	0.0010
O15263	2	2.45	6.23	0.0310
O15264	8	11.23	25.19	0.0010
O15269	5	6.45	30.28	0.0010
O15270	8	11.49	28.08	0.0010
O15287	3	5.03	27.93	0.0010
O15294	325	33.37	36.34	0.0010
