uniprot_id	struct_id	struct_source
A1L3X0	6y7fA	PDB
A1Z1Q3	4iqyA	PDB
A2RUC4	3al5A	PDB
A4D126	4cvhA	PDB
A4D1P6	6vycA	PDB
A4D2B0	4v0hA	PDB
A6ND01	5f4qA	PDB
A6NGN9	6dldA	PDB
A6NHC0	2nqaB	PDB
A6NI73	2d3vA	PDB
A6NIH7	7ok7G	PDB
A6NK06	6r6uA	PDB
A6NK44	3zw5A	PDB
A6NLU0	2fbeA	PDB
A8MT69	4e44B	PDB
A8MTZ0	6xt9J	PDB
A8MYU2	4hpfA	PDB
B1AL88	7cm3B	PDB
B2RXH2	2w2iA	PDB
D3W0D1	4iopB	PDB
O00139	6bbnE	PDB
O00141	3hdmA	PDB
O00154	2qq2A	PDB
O00167	3gebA	PDB
O00168	2jo1A	PDB
O00175	1eigA	PDB
O00180	3ukmA	PDB
O00182	3wv6A	PDB
O00187	1zjkA	PDB
O00189	3l81A	PDB
O00194	2f7sA	PDB
O00198	2l58A	PDB
O00204	1q20A	PDB
O00206	4g8aA	PDB
O00214	4hanA	PDB
O00217	5xtbB	PDB
O00222	6bszA	PDB
O00231	5m32l	PDB
O00232	6msbW	PDB
O00238	3mdyA	PDB
O00244	1fe4A	PDB
O00253	1hykA	PDB
O00264	4x8yA	PDB
O00267	6tedZ	PDB
O00294	3c5nA	PDB
O00299	4jzqA	PDB
O00300	3urfZ	PDB
O00303	6zp4F	PDB
O00308	5tj7A	PDB
O00311	6ya7A	PDB
O00329	7lm2A	PDB
O00338	3bfxA	PDB
O00391	3lliA	PDB
O00399	3tv0A	PDB
O00408	3ibjA	PDB
O00410	6xteA	PDB
O00411	6erqA	PDB
O00422	2hdeA	PDB
O00423	4ci8A	PDB
O00429	5wp9A	PDB
O00445	5h4zA	PDB
O00451	5mr4C	PDB
O00478	4f8tA	PDB
O00481	4f9lA	PDB
O00482	4rwvA	PDB
O00483	5z62N	PDB
O00487	5l4kV	PDB
O00488	6lu89	PDB
O00499	1mv3A	PDB
O00506	2xikA	PDB
O00522	5d68A	PDB
O00548	4xbmA	PDB
O00560	4z33A	PDB
O00584	3t0oA	PDB
O00585	5ekiA	PDB
O00602	2wnpF	PDB
O00625	6n0kA	PDB
O00629	6wx8A	PDB
O00631	1jdmA	PDB
O00746	1ehwA	PDB
O00757	5q0cA	PDB
O00762	1i7kA	PDB
O00764	2f7kA	PDB
O00767	4zyoA	PDB
O14493	7kp4A	PDB
O14508	6i5nA	PDB
O14519	2kw6A	PDB
O14520	6kxwA	PDB
O14531	5nksA	PDB
O14556	3h9eO	PDB
O14558	5ltwC	PDB
O14561	7o9mw	PDB
O14579	6u3vA	PDB
O14593	3uxgA	PDB
O14595	2q5eA	PDB
O14618	6fonA	PDB
O14625	1rjtA	PDB
O14638	6c01A	PDB
O14649	6rv3A	PDB
O14656	6oifA	PDB
O14672	6be6A	PDB
O14678	6jbjA	PDB
O14684	5tl9A	PDB
O14713	4dx8A	PDB
O14717	1g55A	PDB
O14727	3jbtA	PDB
O14732	2cziA	PDB
O14733	5y90A	PDB
O14737	2k6bA	PDB
O14744	4gqbA	PDB
O14745	2krgA	PDB
O14746	7bg9A	PDB
O14757	2ydiA	PDB
O14773	3edyA	PDB
O14786	2qqmA	PDB
O14788	3urfA	PDB
O14792	1zrhA	PDB
O14793	5nxsA	PDB
O14796	5kazA	PDB
O14802	7d58A	PDB
O14810	3rk3E	PDB
O14815	2p0rA	PDB
O14818	4r3oD	PDB
O14832	2a1xA	PDB
O14842	5tzyA	PDB
O14862	3rn5A	PDB
O14907	2l4sA	PDB
O14917	6vftA	PDB
O14920	4e3cA	PDB
O14931	3noiA	PDB
O14933	1wzvA	PDB
O14936	3tacA	PDB
O14939	6ohpA	PDB
O14949	5xteA	PDB
O14957	5xteG	PDB
O14958	2vafA	PDB
O14960	5b0hA	PDB
O14966	6hh2A	PDB
O14980	5disA	PDB
O14994	2p0aA	PDB
O15033	6jx5A	PDB
O15066	3b6uA	PDB
O15075	6kyqA	PDB
O15091	4xglA	PDB
O15111	5ebzA	PDB
O15118	6w5sA	PDB
O15123	4zfgA	PDB
O15143	6uhcC	PDB
O15144	6yw6D	PDB
O15145	6uhcE	PDB
O15178	6f58A	PDB
O15194	2hhlA	PDB
O15205	6gf2A	PDB
O15217	3ik7A	PDB
O15229	5x68A	PDB
O15235	6zm6AJ	PDB
O15239	5xtcS	PDB
O15247	2r5gA	PDB
O15263	1fd3A	PDB
O15264	4ynoA	PDB
O15269	7k0mA	PDB
O15270	7cqiT	PDB
O15273	1ya5T	PDB
O15287	7kzpG	PDB
O15294	4xifA	PDB
O15296	4nreA	PDB
