uniprot_id	n_sites	mean_d	permuted_d	p_value
A0A0B4J1W7	48	29.44	36.64	0.0010
A0A0C4DGP1	49	21.12	20.82	0.6673
A0A1B0GU29	24	26.23	49.86	0.0010
A0A1B0GVZ9	9	11.55	20.16	0.0020
A0AV96	74	25.85	30.93	0.0010
A0AVF1	9	19.35	39.37	0.0010
A0AVI4	33	25.11	36.36	0.0010
A0AVK6	8	7.92	34.71	0.0010
A0JNW5	5	6.44	38.77	0.0010
A0MZ66	8	27.70	56.93	0.0010
A0PJW6	1	0.00	0.00	0.0010
A0PJX4	12	10.98	41.09	0.0010
A0PJZ3	29	20.21	28.87	0.0010
A0PK11	3	7.52	21.60	0.0260
A1A4S6	9	44.64	51.81	0.2208
A1A4V9	4	20.61	26.61	0.2278
A1A5C7	28	26.08	30.62	0.0150
A1KXE4	2	3.45	22.60	0.0130
A1L020	149	37.52	42.35	0.0010
A1L162	2	2.46	23.39	0.0010
A1L1A6	1	0.00	0.00	0.0010
A1L390	15	27.13	37.61	0.0020
A1L4H1	39	27.00	39.41	0.0010
A1L4K1	1	0.00	0.00	0.0010
A1X283	13	23.64	30.92	0.0060
A1XBS5	9	26.59	41.54	0.0260
A1YPR0	21	24.28	32.11	0.0010
A2A2Z9	3	4.20	49.52	0.0010
A2RU54	7	31.60	37.86	0.1848
A2RU67	2	4.65	17.54	0.0240
A2RUH7	1	0.00	0.00	0.0010
A2RUR9	6	5.32	75.35	0.0010
A2RUS2	8	35.43	40.41	0.1718
A2VDJ0	4	37.43	39.64	0.4515
A3KMH1	2	69.34	30.63	0.9940
A3KN83	76	31.16	41.88	0.0010
A3QJZ7	168	28.46	36.31	0.0010
A4D0S4	2	2.95	40.88	0.0020
A4D161	4	25.88	24.69	0.5704
A4D1B5	7	6.15	39.78	0.0010
A4D1S0	7	24.23	34.15	0.1249
A4D1U4	8	24.97	25.96	0.3886
A4D2H0	27	93.49	117.82	0.0120
A4D2P6	66	38.29	47.36	0.0010
A4FU28	5	5.83	97.47	0.0010
A4FU69	1	0.00	0.00	0.0010
A4IF30	1	0.00	0.00	0.0010
A4QMS7	17	26.04	47.54	0.0020
A5D8V7	20	23.18	84.54	0.0010
A5D8W1	2	36.42	28.36	0.7073
A5PKW4	46	29.23	36.19	0.0010
A5PLK6	5	28.09	41.97	0.0440
A5PLL7	55	16.74	25.75	0.0010
A5PLN9	4	8.08	31.88	0.0010
A5YKK6	244	54.70	60.74	0.0010
A5YM72	121	22.74	39.85	0.0010
A6BM72	34	23.58	89.79	0.0010
A6H8M9	2	2.86	38.61	0.0060
A6NC42	13	14.68	20.54	0.0130
A6NC51	2	2.74	14.81	0.0050
A6NC57	26	18.25	76.47	0.0010
A6NC86	1	0.00	0.00	0.0010
A6NC98	19	61.80	123.49	0.0010
A6NCC3	72	52.41	65.27	0.0010
A6NCS4	16	20.91	42.33	0.0010
A6NCS6	160	21.27	22.89	0.0010
A6ND36	9	20.36	32.43	0.0020
A6NDE8	12	25.27	48.94	0.0010
A6NDI0	2	3.01	20.19	0.0090
A6NDK9	73	102.46	97.25	0.8711
A6NDN3	61	88.32	99.32	0.0200
A6NDV4	20	25.23	40.17	0.0010
A6NDZ8	58	28.17	40.58	0.0010
A6NE01	23	57.77	71.88	0.0280
A6NE02	162	26.13	35.65	0.0010
A6NE52	124	41.40	47.74	0.0010
A6NE82	39	28.70	44.01	0.0010
A6NEE1	6	6.51	66.05	0.0010
A6NEF3	11	31.25	74.89	0.0010
A6NEL2	4	5.63	26.32	0.0010
A6NEN9	3	5.25	18.23	0.0080
A6NEQ2	41	23.83	46.67	0.0010
A6NER3	2	2.94	25.40	0.0190
A6NES4	15	91.38	88.53	0.5854
A6NEV1	12	32.05	42.89	0.0789
A6NF83	24	24.90	27.26	0.0899
A6NFA1	64	24.68	27.00	0.0010
A6NFC5	37	19.50	27.15	0.0010
A6NFD8	3	18.24	27.21	0.2328
A6NFN3	49	14.40	41.60	0.0010
A6NFN9	4	6.81	27.30	0.0010
A6NFQ2	216	36.38	43.17	0.0010
A6NFT4	78	57.07	112.22	0.0010
A6NFY4	2	15.01	27.87	0.3117
