enst_id	length	syn_prob	syn_count	mis_prob	mis_count
ENST00000000233	180	7.525e-06	38	1.754e-05	37
ENST00000000412	277	7.534e-06	47	2.092e-05	117
ENST00000000442	423	1.793e-05	113	4.196e-05	163
ENST00000001008	459	1.526e-05	109	3.802e-05	191
ENST00000001146	512	2.772e-05	164	5.678e-05	274
ENST00000002125	441	1.293e-05	102	3.391e-05	270
ENST00000002165	467	1.545e-05	107	3.723e-05	214
ENST00000002596	307	1.789e-05	99	3.523e-05	172
ENST00000002829	785	3.754e-05	218	8.929e-05	376
ENST00000003084	1480	3.681e-05	264	1.022e-04	971
ENST00000003100	509	1.379e-05	96	3.839e-05	225
ENST00000003302	1077	2.901e-05	200	8.030e-05	462
ENST00000004531	698	2.451e-05	203	5.462e-05	471
ENST00000004921	89	2.638e-06	17	6.552e-06	45
ENST00000004980	644	1.519e-05	118	4.653e-05	221
ENST00000004982	160	1.470e-05	39	2.436e-05	64
ENST00000005178	411	1.187e-05	95	3.251e-05	202
ENST00000005180	94	2.394e-06	20	7.059e-06	52
ENST00000005226	899	3.214e-05	251	8.241e-05	564
ENST00000005257	206	5.363e-06	32	1.462e-05	29
ENST00000005260	511	2.184e-05	142	4.515e-05	263
ENST00000005284	315	1.297e-05	95	3.011e-05	94
ENST00000005286	1024	4.760e-05	248	1.091e-04	594
ENST00000005340	736	3.049e-05	216	7.139e-05	437
ENST00000005386	665	1.599e-05	117	4.392e-05	290
ENST00000005558	451	1.270e-05	84	3.492e-05	183
ENST00000005995	314	1.434e-05	83	3.166e-05	223
ENST00000006015	313	2.085e-05	98	3.899e-05	142
ENST00000006053	397	1.871e-05	145	3.836e-05	213
ENST00000006275	173	9.312e-06	49	1.733e-05	104
ENST00000006658	802	3.469e-05	208	8.163e-05	480
ENST00000006724	265	9.263e-06	65	2.082e-05	169
ENST00000006777	364	1.814e-05	95	3.431e-05	183
ENST00000007390	312	1.955e-05	77	3.848e-05	178
ENST00000007414	842	3.253e-05	205	8.195e-05	374
ENST00000007516	156	7.278e-06	37	1.601e-05	80
ENST00000007699	364	1.940e-05	71	4.540e-05	141
ENST00000007722	1066	4.418e-05	245	1.032e-04	463
ENST00000007735	404	1.693e-05	119	3.811e-05	295
ENST00000007969	343	1.018e-05	72	2.676e-05	178
ENST00000008391	452	1.790e-05	129	3.836e-05	212
ENST00000008527	586	1.538e-05	122	4.650e-05	237
ENST00000008938	196	8.427e-06	39	2.085e-05	107
ENST00000009041	234	6.736e-06	47	1.645e-05	101
ENST00000009105	476	1.520e-05	126	3.699e-05	195
ENST00000009530	296	1.151e-05	70	2.619e-05	122
ENST00000010299	341	9.773e-06	61	2.525e-05	86
ENST00000010404	155	3.840e-06	27	1.118e-05	96
ENST00000011292	419	1.764e-05	100	3.843e-05	210
ENST00000011473	259	7.647e-06	49	1.938e-05	114
ENST00000011619	729	3.340e-05	147	6.832e-05	256
ENST00000011653	458	1.478e-05	108	3.431e-05	202
ENST00000011684	790	2.906e-05	204	7.627e-05	452
ENST00000011898	239	1.013e-05	70	2.070e-05	91
ENST00000012049	382	1.768e-05	121	4.130e-05	204
