enst_id	length	syn_prob	syn_count	mis_prob	mis_count	syn_exp	mis_exp
ENST00000000233	180	7.525e-6	38	1.754e-5	37	47.822901661626844	110.38140130650369
ENST00000000412	277	7.534e-6	47	2.092e-5	117	47.87911998382394	131.49450453163433
ENST00000000442	423	1.793e-5	113	4.196e-5	163	112.81752860171106	262.9204488679507
ENST00000001008	459	1.526e-5	109	3.802e-5	191	96.13942634990666	238.30931670611199
ENST00000001146	512	2.772e-5	164	5.678e-5	274	173.97057019166056	355.49328608583136
ENST00000002125	441	1.293e-5	102	3.391e-5	270	81.58512738110356	212.63628290277262
ENST00000002165	467	1.545e-5	107	3.723e-5	214	97.32625759628974	233.37459731325603
ENST00000002596	307	1.789e-5	99	3.523e-5	172	112.5676693919462	220.881636825013
ENST00000002829	785	3.754e-5	218	8.929e-5	376	235.3110061889337	558.5663588222213
ENST00000003084	1480	3.681e-5	264	1.022e-4	971	230.751075610725	639.2084187738299
ENST00000003100	509	1.379e-5	96	3.839e-5	225	86.95710039104806	240.62051439643693
ENST00000003302	1077	2.901e-5	200	8.03e-5	462	182.02852970657727	502.41050142756905
ENST00000004531	698	2.451e-5	203	5.462e-5	471	153.91936860803054	342.0008887585289
ENST00000004921	89	2.638e-6	17	6.552e-6	45	17.296352708605077	41.74507638409663
ENST00000004980	644	1.519e-5	118	4.653e-5	221	95.70217273281816	291.46686358358596
ENST00000004982	160	1.47e-5	39	2.436e-5	64	92.64139741319862	152.98239657141232
ENST00000005178	411	1.187e-5	95	3.251e-5	202	74.96385832233477	203.89121056100254
ENST00000005180	94	2.394e-6	20	7.059e-6	52	15.772211529039431	44.91204186786622
ENST00000005226	899	3.214e-5	251	8.241e-5	564	201.5800128706776	515.5905747426655
ENST00000005257	206	5.363e-6	32	1.462e-5	29	34.318011373836164	92.1416789936689
ENST00000005260	511	2.184e-5	142	4.515e-5	263	137.24126635622613	282.8467208466983
ENST00000005284	315	1.297e-5	95	3.011e-5	94	81.83498659086843	188.89965797511096
ENST00000005286	1024	4.76e-5	248	1.091e-4	594	298.15059744479595	682.3091324582682
ENST00000005340	736	3.049e-5	216	7.139e-5	437	191.2733204678771	446.7543624524465
ENST00000005386	665	1.599e-5	117	4.392e-5	290	100.69935692811536	275.16355014642886
ENST00000005558	451	1.27e-5	84	3.492e-5	183	80.14843692495562	218.94522794933533
ENST00000005995	314	1.434e-5	83	3.166e-5	223	90.39266452531487	198.58170235349925
ENST00000006015	313	2.085e-5	98	3.899e-5	142	131.05725091454585	244.36840254290985
ENST00000006053	397	1.871e-5	145	3.836e-5	213	117.68978319212583	240.4331199891133
ENST00000006275	173	9.312e-6	49	1.733e-5	104	58.985361857871965	109.06964045523816
ENST00000006658	802	3.469e-5	208	8.163e-5	480	217.50853749318742	510.71832015225067
ENST00000006724	265	9.263e-6	65	2.082e-5	169	58.67928432591001	130.8698565072222
ENST00000006777	364	1.814e-5	95	3.431e-5	183	114.12928945297658	215.13487500042126
ENST00000007390	312	1.955e-5	77	3.848e-5	178	122.9368265971879	241.18269761840787
ENST00000007414	842	3.253e-5	205	8.195e-5	374	204.016140165885	512.7171938303695
ENST00000007516	156	7.278e-6	37	1.601e-5	80	46.28002104132883	100.82428653299779
ENST00000007699	364	1.94e-5	71	4.54e-5	141	121.99985456056967	284.40834090772864
ENST00000007722	1066	4.418e-5	245	1.032e-4	463	276.78763500990044	645.4548990179514
ENST00000007735	404	1.693e-5	119	3.811e-5	295	106.57104835758956	238.87149992808293
ENST00000007969	343	1.018e-5	72	2.676e-5	178	64.40730670976944	167.9739491573039
ENST00000008391	452	1.79e-5	129	3.836e-5	212	112.63013419438742	240.4331199891133
ENST00000008527	586	1.538e-5	122	4.65e-5	237	96.88900397920123	291.2794691762623
ENST00000008938	196	8.427e-6	39	2.085e-5	107	53.45722684182444	131.05725091454585
ENST00000009041	234	6.736e-6	47	1.645e-5	101	42.894428749014985	103.57273784041125
ENST00000009105	476	1.52e-5	126	3.699e-5	195	95.76463753525937	231.87544205466688
ENST00000009530	296	1.151e-5	70	2.619e-5	122	72.71512543445102	164.41345541815465
ENST00000010299	341	9.773e-6	61	2.525e-5	86	61.86498925041197	158.54176398868046
ENST00000010404	155	3.84e-6	27	1.118e-5	96	24.804621962039118	70.65378695389093
ENST00000011292	419	1.764e-5	100	3.843e-5	210	111.00604933091583	240.87037360620184
ENST00000011473	259	7.647e-6	49	1.938e-5	114	48.58497225140967	121.87492495568725
ENST00000011619	729	3.34e-5	147	6.832e-5	256	209.45057797827067	427.5776681029934
ENST00000011653	458	1.478e-5	108	3.431e-5	202	93.14111583272835	215.13487500042126
ENST00000011684	790	2.906e-5	204	7.627e-5	452	182.34085371878336	477.2371860437594
ENST00000011898	239	1.013e-5	70	2.07e-5	91	64.09498269756335	130.1202788779276
ENST00000012049	382	1.768e-5	121	4.13e-5	204	111.2559085406807	258.7977719068305
ENST00000012134	2446	7.413e-5	565	1.846e-4	1138	463.86971832133935	1153.9183908894413
ENST00000012443	499	2.287e-5	131	4.991e-5	175	143.67514100767127	312.5799668087167
ENST00000013070	425	1.355e-5	69	3.193e-5	139	85.4579451324589	200.26825201941207
ENST00000013125	846	2.168e-5	124	6.013e-5	260	136.24182951716668	376.4189949036384
ENST00000013222	263	1.11e-5	85	2.382e-5	177	70.15406853436122	149.60929723958668
ENST00000013807	323	1.338e-5	93	2.8e-5	161	84.39604349095823	175.71958466001456
ENST00000014914	357	1.329e-5	96	2.996e-5	233	83.8338602689873	187.9626859384927
ENST00000014930	189	6.642e-6	51	1.744e-5	115	42.30725960606756	109.75675328209152
ENST00000016171	410	1.198e-5	88	3.28e-5	206	75.65097114918814	205.70268983179776
ENST00000016913	267	6.996e-6	46	1.877e-5	147	44.51851361248657	118.06457200677313
ENST00000017003	865	3.849e-5	245	8.947e-5	405	241.2451624208491	559.6907252661632
ENST00000019103	440	1.702e-5	102	3.766e-5	232	107.1332315795605	236.06058381822828
ENST00000019317	655	1.931e-5	130	5.191e-5	252	121.43767133859873	325.0729272969597
