TRAJ23 A0A075B6U7
OR5BS1P A0A2R8YED5
TMEM213 A2RRL7
FOXO6 A8MYZ6
TAAR5 O14804
PAGE1 O75459
DGKI O75912
SEC24D O94855
EPHX1 P07099
CCNYL3 P0C7X3
PIRT P0C851
SKIL P12757
PFKFB1 P16118
KRT4 P19013
NFKB1 P19838
PRDX5 P30044
HOXC12 P31275
UQCRC1 P31930
SOX11 P35716
NAA10 P41227
ASPA P45381
NRIP1 P48552
RNASE9 P60153
EIF4G2 P78344
DSG1 Q02413
SPEM2 Q0P670
GAGE5 Q13069
MAPK8IP2 Q13387
GAB1 Q13480
PNOC Q13519
PPP4R3B Q5MIZ7
DACT2 Q5SW24
BCL2L15 Q5TBC7
MAGI3 Q5TCQ9
PRAMEF5 Q5TYX0
MORN5 Q5VZ52
FRG2 Q64ET8
GRHL2 Q6ISB3
GGT6 Q6P531
SHISA2 Q6UWI4
PPP1R3F Q6ZSY5
HTR3D Q70Z44
PRXL2C Q7RTV5
CACNA2D4 Q7Z3S7
NANOGNB Q7Z5D8
ALPK2 Q86TB3
SMG6 Q86US8
NAA40 Q86UY6
HPS6 Q86YV9
HRNR Q86YZ3
WFDC8 Q8IUA0
OSCAR Q8IYS5
C15orf54 Q8N8G6
CLEC1A Q8NC01
OR14L1P Q8NHC6
TTN Q8WZ42
HAS2 Q92819
MAP4K1 Q92918
C3orf49 Q96BT1
C1orf147 Q96MC9
GLT1D1 Q96MS3
ATOH8 Q96SQ7
VGLL1 Q99990
OR10A2 Q9H208
CARD9 Q9H257
CRISPLD1 Q9H336
BAZ1A Q9NRL2
NDUFB11 Q9NX14
UTP6 Q9NYH9
EMC3 Q9P0I2
IBTK Q9P2D0
IGSF9 Q9P2J2
DNAJB11 Q9UBS4
FTSJ1 Q9UET6
MAN1B1 Q9UKM7
RAB26 Q9ULW5
RUVBL1 Q9Y265
ZBTB12 Q9Y330
ZNF711 Q9Y462
SERP1 Q9Y6X1
IGLV11-55 A0A075B6I3
TRGJP1 A0A0A0MT97
LOC100505841 A0A1B0GTH9
OR4C45 A6NMZ5
C5orf58 C9J3I9
MATN2 O00339
CFLAR O15519
PSMD3 O43242
NEMF O60524
ZNF189 O75820
UPP2 O95045
MAP3K6 O95382
VNN1 O95497
DNAL4 O96015
PROC P04070
IGF1R P08069
ANXA5 P08758
RHOXF2B P0C7M4
XRCC5 P13010
CFTR P13569
TCF4 P15884
TPH1 P17752
BMP7 P18075
PRKACG P22612
H2BC17 P23527
MT3 P25713
NOS3 P29474
GK P32189
CTNNA1 P35221
KRT9 P35527
GPX4 P36969
COIL P38432
PTGDS P41222
SERPINB10 P48595
XG P55808
S100A10 P60903
TRIM32 Q13049
RHEB Q15382
SLC18A3 Q16572
SLC5A12 Q1EHB4
C18orf21 Q32NC0
CYP27C1 Q4G0S4
HSD17B12 Q53GQ0
LCE1E Q5T753
MBNL2 Q5VZF2
TTLL5 Q6EMB2
HIBCH Q6NVY1
RGMB Q6NW40
DUX4L9 Q6RFH8
TRIM72 Q6ZMU5
RTL10 Q7L3V2
ANKRD33 Q7Z3H0
C6orf201 Q7Z4U5
NDUFA11 Q86Y39
DDX60 Q8IY21
C7orf31 Q8N865
NKAPP1 Q8N9T2
BLOC1S5 Q8TDH9
TRAF3IP1 Q8TDR0
GLYATL2 Q8WU03
NPIPB3 Q92617
RPGR Q92834
DPH3 Q96FX2
PGM2 Q96G03
RMND5B Q96G75
PAGE5 Q96GU1
MEGF10 Q96KG7
C18orf12 Q96KH6
ZNF714 Q96N38
