enst_id	pli	mis_z
ENST00000407010	2.5176e-04	2.1445e+00
ENST00000407010	2.5176e-04	2.1445e+00
ENST00000407010	2.5176e-04	2.1445e+00
ENST00000407010	2.5176e-04	2.1445e+00
ENST00000377462	4.5659e-06	9.7591e-01
ENST00000377462	4.5659e-06	9.7591e-01
ENST00000448814	8.6758e-03	2.4428e-01
ENST00000448814	8.6758e-03	2.4428e-01
ENST00000399881	2.7854e-16	2.6972e+00
ENST00000450979	5.1315e-01	1.3284e+00
ENST00000395473	6.5480e-06	1.6002e+00
ENST00000400897	3.0428e-14	9.3249e-01
ENST00000400897	3.0428e-14	9.3249e-01
ENST00000400897	3.0428e-14	9.3249e-01
ENST00000400897	3.0428e-14	9.3249e-01
ENST00000400897	3.0428e-14	9.3249e-01
ENST00000359593	4.4873e-17	2.5941e-01
ENST00000359593	4.4873e-17	2.5941e-01
ENST00000359593	4.4873e-17	2.5941e-01
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000341872	1.4509e-06	1.0198e+00
ENST00000313468	1.6592e-01	2.1453e+00
ENST00000358373	3.4226e-07	3.3403e+00
ENST00000358373	3.4226e-07	3.3403e+00
ENST00000358373	3.4226e-07	3.3403e+00
ENST00000358373	3.4226e-07	3.3403e+00
ENST00000264568	9.9944e-01	4.5432e+00
ENST00000264568	9.9944e-01	4.5432e+00
ENST00000264568	9.9944e-01	4.5432e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000297350	1.6171e-01	3.0029e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000251481	1.0639e-08	7.1298e-01
ENST00000334456	6.3100e-01	5.4408e+00
ENST00000588649	1.7390e-20	-1.8668e+00
ENST00000588649	1.7390e-20	-1.8668e+00
ENST00000588649	1.7390e-20	-1.8668e+00
ENST00000588649	1.7390e-20	-1.8668e+00
ENST00000262233	9.9873e-01	5.6526e+00
ENST00000262233	9.9873e-01	5.6526e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000289361	5.8712e-09	9.1677e-01
ENST00000367362	2.3807e-01	3.8182e+00
ENST00000316724	7.7822e-01	4.4578e+00
ENST00000316724	7.7822e-01	4.4578e+00
ENST00000316724	7.7822e-01	4.4578e+00
ENST00000340022	6.9333e-04	4.1757e+00
ENST00000340022	6.9333e-04	4.1757e+00
ENST00000340022	6.9333e-04	4.1757e+00
ENST00000340022	6.9333e-04	4.1757e+00
ENST00000340022	6.9333e-04	4.1757e+00
ENST00000340022	6.9333e-04	4.1757e+00
ENST00000476238	2.6891e-04	1.6774e+00
ENST00000476238	2.6891e-04	1.6774e+00
ENST00000476238	2.6891e-04	1.6774e+00
ENST00000380420	5.3402e-10	-6.0335e-01
ENST00000380420	5.3402e-10	-6.0335e-01
ENST00000380420	5.3402e-10	-6.0335e-01
ENST00000380420	5.3402e-10	-6.0335e-01
ENST00000291565	7.4906e-01	3.2383e+00
ENST00000297988	4.0504e-16	-2.1294e+00
ENST00000297988	4.0504e-16	-2.1294e+00
ENST00000297988	4.0504e-16	-2.1294e+00
ENST00000297988	4.0504e-16	-2.1294e+00
ENST00000297988	4.0504e-16	-2.1294e+00
ENST00000222286	3.3372e-05	2.2501e+00
ENST00000303088	8.6716e-06	1.2258e+00
ENST00000303088	8.6716e-06	1.2258e+00
ENST00000357639	3.4680e-23	1.4018e+00
ENST00000357639	3.4680e-23	1.4018e+00
ENST00000302909	9.0018e-01	2.9200e+00
ENST00000351698	5.0557e-04	1.4273e+00
ENST00000351698	5.0557e-04	1.4273e+00
ENST00000351698	5.0557e-04	1.4273e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000356924	1.3364e-12	2.0650e+00
ENST00000340607	7.1317e-01	1.8791e+00
ENST00000340607	7.1317e-01	1.8791e+00
ENST00000551964	9.6242e-06	5.1447e+00
ENST00000551964	9.6242e-06	5.1447e+00
ENST00000551964	9.6242e-06	5.1447e+00
ENST00000551964	9.6242e-06	5.1447e+00
ENST00000551964	9.6242e-06	5.1447e+00
ENST00000590247	3.6424e-03	1.2356e+00
ENST00000262613	8.8416e-05	1.1748e+00
ENST00000262613	8.8416e-05	1.1748e+00
ENST00000262613	8.8416e-05	1.1748e+00
ENST00000262613	8.8416e-05	1.1748e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000265371	9.8584e-01	5.3634e+00
ENST00000265371	9.8584e-01	5.3634e+00
ENST00000260950	5.0520e-01	2.8479e+00
ENST00000260950	5.0520e-01	2.8479e+00
ENST00000260950	5.0520e-01	2.8479e+00
ENST00000260950	5.0520e-01	2.8479e+00
ENST00000260950	5.0520e-01	2.8479e+00
ENST00000260950	5.0520e-01	2.8479e+00
ENST00000260950	5.0520e-01	2.8479e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000263038	2.3792e-06	1.2017e+00
ENST00000263038	2.3792e-06	1.2017e+00
ENST00000263038	2.3792e-06	1.2017e+00
ENST00000263038	2.3792e-06	1.2017e+00
ENST00000520810	9.9192e-01	5.6817e+00
ENST00000520810	9.9192e-01	5.6817e+00
ENST00000520810	9.9192e-01	5.6817e+00
ENST00000520810	9.9192e-01	5.6817e+00
ENST00000520810	9.9192e-01	5.6817e+00
ENST00000520810	9.9192e-01	5.6817e+00
ENST00000340027	3.6824e-04	6.8035e-01
ENST00000378163	1.0000e+00	5.9406e+00
ENST00000378163	1.0000e+00	5.9406e+00
ENST00000263088	4.1429e-27	1.1484e+00
ENST00000263088	4.1429e-27	1.1484e+00
ENST00000263088	4.1429e-27	1.1484e+00
ENST00000378665	4.8250e-02	6.3156e-01
ENST00000261448	1.3885e-12	2.6218e-01
ENST00000261448	1.3885e-12	2.6218e-01
ENST00000261448	1.3885e-12	2.6218e-01
ENST00000358763	1.8871e-03	3.2553e+00
ENST00000356357	4.9149e-07	3.7360e+00
ENST00000370397	9.9403e-01	5.3356e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000269228	6.5418e-06	4.8431e+00
ENST00000325203	8.3208e-01	4.0151e+00
ENST00000325203	8.3208e-01	4.0151e+00
ENST00000451682	1.0999e-02	2.7480e+00
ENST00000451682	1.0999e-02	2.7480e+00
ENST00000451682	1.0999e-02	2.7480e+00
ENST00000451682	1.0999e-02	2.7480e+00
ENST00000377050	7.0467e-03	7.5819e-02
ENST00000366559	4.7825e-05	2.7854e+00
ENST00000366559	4.7825e-05	2.7854e+00
ENST00000371437	5.5315e-01	1.4425e+00
ENST00000369449	4.9547e-02	1.4323e+00
ENST00000211287	6.7197e-11	1.1218e+00
ENST00000262554	4.1945e-11	1.6539e+00
ENST00000262554	4.1945e-11	1.6539e+00
ENST00000262554	4.1945e-11	1.6539e+00
ENST00000262554	4.1945e-11	1.6539e+00
ENST00000216484	7.8035e-01	3.9220e+00
ENST00000216484	7.8035e-01	3.9220e+00
ENST00000216484	7.8035e-01	3.9220e+00
ENST00000216484	7.8035e-01	3.9220e+00
ENST00000216484	7.8035e-01	3.9220e+00
ENST00000309889	1.8939e-01	1.6669e+00
ENST00000378643	2.4859e-14	1.1486e+00
ENST00000378643	2.4859e-14	1.1486e+00
ENST00000378643	2.4859e-14	1.1486e+00
ENST00000378643	2.4859e-14	1.1486e+00
ENST00000378643	2.4859e-14	1.1486e+00
ENST00000380183	1.4819e-18	6.8868e-01
ENST00000380183	1.4819e-18	6.8868e-01
ENST00000380183	1.4819e-18	6.8868e-01
ENST00000268261	1.4072e-17	-1.5128e+00
ENST00000268261	1.4072e-17	-1.5128e+00
ENST00000268261	1.4072e-17	-1.5128e+00
ENST00000258969	6.9766e-03	1.5786e+00
ENST00000258969	6.9766e-03	1.5786e+00
ENST00000298229	2.3313e-03	5.1678e+00
ENST00000298229	2.3313e-03	5.1678e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
ENST00000389301	1.5943e-68	-5.4138e+00
