ENST00000000233	2b6hA
ENST00000000412	1juqF
ENST00000001008	1qz2A
ENST00000002596	1zrhA
ENST00000003084	6msmA
ENST00000003302	6h4iA
ENST00000004982	5ok9B
ENST00000005178	2e0aA
ENST00000005180	1g2sA
ENST00000005257	1zc3A
ENST00000005260	2kxcA
ENST00000005340	4wipA
ENST00000005386	6fo1G
ENST00000007516	2dnwA
ENST00000008938	1yckA
ENST00000009530	4ah2B
ENST00000011292	4uf4A
ENST00000011619	5jiuA
ENST00000011653	1wioA
ENST00000012049	3pb6X
ENST00000012443	1wao1
ENST00000013222	2a14A
ENST00000019317	2mbgA
ENST00000020926	1wfmA
ENST00000025008	6gmaA
ENST00000029410	4irpA
ENST00000037243	4co7A
ENST00000037502	6ou1A
ENST00000039007	1othA
ENST00000040663	4ldrB
ENST00000040877	2ha8A
ENST00000043402	1oznA
ENST00000046794	2eapA
ENST00000053243	2kn1A
ENST00000053468	3j9mAH
ENST00000053867	2jyeA
ENST00000055077	
ENST00000070846	3tt9A
ENST00000075120	4zw9A
ENST00000078429	6oijA
ENST00000081029	3j9mA1
ENST00000085219	5vkjA
ENST00000155840	4umoB
ENST00000156084	3tmpC
ENST00000156471	4pj3A
ENST00000157812	5gjqK
ENST00000158762	4nswA
ENST00000160262	1t0pB
ENST00000160827	6njeA
ENST00000161559	4whdA
ENST00000161863	2yu6A
ENST00000162749	1extB
ENST00000164139	1z8dA
ENST00000164227	1k1aA
ENST00000166139	3b4vD
ENST00000166244	3kulB
ENST00000166345	6f0xB
ENST00000167106	6j4uA
ENST00000167586	3tnuA
ENST00000168216	2o23A
ENST00000168712	1ijtA
ENST00000169298	4js1A
ENST00000171111	5wfvB
ENST00000172229	2n83A
ENST00000173229	6fkqA
ENST00000175756	4gfvA
ENST00000176183	5wiuA
ENST00000176763	6eimA
ENST00000177742	6nu3A0
ENST00000178638	5msaC
ENST00000178640	4ic7B
ENST00000179259	3dcyA
ENST00000180166	3f1rA
ENST00000181383	4p10A
ENST00000181839	5efqC
ENST00000184266	5xtco
ENST00000185206	
ENST00000188312	6igmG
ENST00000188790	1z68A
ENST00000196371	3dlxA
ENST00000198536	3wuzA
ENST00000199280	4oj2X
ENST00000199448	6e7oA
ENST00000199706	3j7yX
ENST00000199814	6id1O
ENST00000200181	3f7rA
ENST00000200453	
ENST00000200457	2dloA
ENST00000200676	2obdA
ENST00000201586	1q22A
ENST00000201647	2rolA
ENST00000201979	2nzjA
ENST00000202556	
ENST00000202773	4ug0LE
ENST00000203001	5ccbB
ENST00000203407	5xteL
ENST00000203556	3qweA
ENST00000203664	1tffA
ENST00000204961	
ENST00000205557	6bzrA
ENST00000205948	1qubA
ENST00000206020	2cpmA
ENST00000206513	3t92A
ENST00000206542	6gwjK
ENST00000206765	2xzzA
ENST00000209668	1u3tA
ENST00000209728	4i5lE
ENST00000209875	3fdtA
ENST00000209884	5yq4A
ENST00000210187	2g6bA
ENST00000210444	1wvoA
ENST00000211122	2vcvB
ENST00000211287	3coiA
ENST00000211314	2looA
ENST00000211998	1tr2A
ENST00000212015	5btrA
ENST00000215057	2fi2A
ENST00000215071	5gjqT
ENST00000215368	2wo3B
ENST00000215565	5xtcv
ENST00000215574	3rz3B
ENST00000215659	1cm8A
ENST00000215727	1jmoA
ENST00000215730	4wy4C
ENST00000215754	1gifA
ENST00000215781	1evsA
ENST00000215793	6ff7p
ENST00000215812	4uybA
ENST00000215829	4pjoA
ENST00000215832	3sa0A
ENST00000215838	4zrpA
ENST00000215855	3qk3A
ENST00000215886	5dg1A
ENST00000215904	2cftA
ENST00000215909	4q27B
ENST00000215957	2kspB
ENST00000215980	4wauA
ENST00000216024	1v5wA
ENST00000216027	3bvoA
ENST00000216075	2ibnA
ENST00000216117	1ni6A
ENST00000216122	
ENST00000216133	2l12A
ENST00000216144	2lv7A
ENST00000216146	4ug0LB
ENST00000216160	5nzzD
ENST00000216181	3zwhQ
ENST00000216185	1w4vA
ENST00000216200	1rjvA
ENST00000216223	5m5eB
ENST00000216225	2hyeD
ENST00000216237	3f70B
ENST00000216252	6ff4y
ENST00000216259	2fueA
ENST00000216274	5v7zA
ENST00000216297	5umtA
ENST00000216336	1kynA
ENST00000216338	3tk9A
ENST00000216341	1iauA
ENST00000216367	5vbnA
ENST00000216373	6eieA
ENST00000216392	1fa9A
ENST00000216410	2o28A
ENST00000216420	2ea5A
ENST00000216446	1x1gA
ENST00000216455	4r3oG
ENST00000216479	1x53A
ENST00000216487	3u23B
ENST00000216489	6ie3A
ENST00000216492	1lv4A
ENST00000216554	2iu1A
ENST00000216639	2rsvA
ENST00000216727	3ucgA
ENST00000216797	1iknD
ENST00000216962	5ikoA
ENST00000216968	3jtcB
ENST00000217026	6c48C
ENST00000217086	5xwrC
ENST00000217109	6b3xA
ENST00000217131	1ef7A
ENST00000217169	3uw5A
ENST00000217182	3c5jC
ENST00000217244	3u87B
ENST00000217402	3um3B
ENST00000217426	1li4A
ENST00000217515	1wwyA
ENST00000217740	5dkaA
