ENST00000393469 A0/AV/02/swissmodel/41_636_7d10.1.A
ENST00000322244 A0/AV/T1/swissmodel/38_1047_6dc6.1.A
ENST00000251527 A0/FG/R8/swissmodel/191_658_4p42.1.A
ENST00000389567 A0/FG/R9/swissmodel/114_585_4p42.1.A
ENST00000395647 A0/PJ/K1/swissmodel/17_541_2xq2.1.A
ENST00000288861 A0/PJ/X0/swissmodel/10_182_1y1a.2.A
ENST00000217320 A0/PJ/X2/swissmodel/51_214_4acj.1.A
ENST00000449592 A0/PK/00/swissmodel/3_330_7f3u.1.A
ENST00000429523 A0/ZS/E6/swissmodel/12_100_6k7m.1.B
ENST00000522154 A1/A4/Y4/swissmodel/3_179_7c3k.2.A
ENST00000332826 A1/A5/B4/swissmodel/27_742_6qp6.1.A
ENST00000399816 A1/L1/67/swissmodel/1_147_2qgx.2.A
ENST00000406915 A1/L1/90/swissmodel/12_85_4r3q.1.A
ENST00000366757 A1/L4/53/swissmodel/50_295_7meq.1.A
ENST00000399989 A2/A3/68/swissmodel/99_315_2wa0.1.A
ENST00000368236 A2/A3/L6/swissmodel/31_398_6hc2.3.C
ENST00000370425 A2/PY/H4/swissmodel/219_1054_6qx9.64.A
ENST00000595635 A2/RR/D8/swissmodel/158_464_5wjq.1.C
ENST00000335968 A2/RT/X5/swissmodel/162_798_1qf6.1.B
ENST00000373861 A2/RU/U4/swissmodel/30_110_1n8s.1.B
ENST00000368552 A2/VD/F0/swissmodel/1_149_2wcu.1.A
ENST00000222511 A4/D1/E9/swissmodel/11_348_7o9k.19.A
ENST00000537763 A4/D1/S5/swissmodel/11_207_3gj7.1.A
ENST00000350549 A4/D1/T9/swissmodel/16_234_1co7.1.A
ENST00000568449 A4/GX/A9/swissmodel/57_375_4p0q.1.B
ENST00000402859 A4/QP/B2/swissmodel/2_246_3s94.1.A
ENST00000408907 A5/LH/X3/swissmodel/50_250_7drw.1.c
ENST00000440596 A5/X5/Y0/swissmodel/43_455_6w1j.1.A
ENST00000306985 A6/NC/E7/swissmodel/1_122_2zjd.2.A
ENST00000440961 A6/ND/01/swissmodel/20_228_5f4e.1.B
ENST00000333503 A6/ND/G6/swissmodel/17_319_4bkm.2.A
ENST00000373518 A6/NF/F2/swissmodel/29_106_6k02.1.B
ENST00000360464 A6/NF/H5/swissmodel/1_133_4azm.1.B
ENST00000406420 A6/NF/X1/swissmodel/39_483_7mjs.1.C
ENST00000378887 A6/NF/Y7/swissmodel/5_68_6uxe.1.F
ENST00000332715 A6/NG/E7/swissmodel/2_166_2o70.1.A
ENST00000331264 A6/NH/11/swissmodel/80_291_4kbr.1.A
ENST00000319327 A6/NH/21/swissmodel/52_492_6sp2.1.A
