enst_id	pli	mis_z
ENST00000407010	2.5176e-04	2.1445e+00
ENST00000401507	9.9995e-01	5.3324e+00
ENST00000401507	9.9995e-01	5.3324e+00
ENST00000401507	9.9995e-01	5.3324e+00
ENST00000359593	4.4873e-17	2.5941e-01
ENST00000359593	4.4873e-17	2.5941e-01
ENST00000359593	4.4873e-17	2.5941e-01
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000201586	4.3553e-01	2.7380e+00
ENST00000313468	1.6592e-01	2.1453e+00
ENST00000313468	1.6592e-01	2.1453e+00
ENST00000313468	1.6592e-01	2.1453e+00
ENST00000313468	1.6592e-01	2.1453e+00
ENST00000313468	1.6592e-01	2.1453e+00
ENST00000313468	1.6592e-01	2.1453e+00
ENST00000264568	9.9944e-01	4.5432e+00
ENST00000264568	9.9944e-01	4.5432e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000229771	5.6824e-04	3.2231e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000377346	9.9999e-01	6.1521e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000549701	5.6753e-04	4.1260e+00
ENST00000340022	6.9333e-04	4.1757e+00
ENST00000291565	7.4906e-01	3.2383e+00
ENST00000303088	8.6716e-06	1.2258e+00
ENST00000303088	8.6716e-06	1.2258e+00
ENST00000302909	9.0018e-01	2.9200e+00
ENST00000351698	5.0557e-04	1.4273e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000310581	9.9046e-01	5.2356e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000299427	6.2564e-07	2.4755e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
ENST00000372371	1.2821e-23	2.4022e+00
