uniprot_id,iso_id,uniprot_length,source,from,to,template,qmean,qnorm,seq_id,seq_cov
A0A0A6YYL3,,544,SWISSMODEL,104,382,5jhq.1.A,-3.4485006742,0.6361730954,26.0869560242,0.511029
A0AV02,A0AV02-1,714,SWISSMODEL,38,660,6y5v.1.A,-8.0018474804,0.4836111165,29.8672561646,0.871148
A0AVT1,A0AVT1-1,1052,SWISSMODEL,38,1047,6dc6.1.A,-2.5170298914,0.6755107493,42.8282814026,0.959125
A0FGR9,A0FGR9-1,886,SWISSMODEL,114,585,4p42.1.A,-2.1127652323,0.6896549280000001,49.6703300476,0.531603
A0PJE2,A0PJE2-1,317,SWISSMODEL,37,314,3rd5.1.A,-2.4588804867,0.6750733432,27.4809169769,0.873817
A0PJK1,A0PJK1-1,596,SWISSMODEL,17,541,2xq2.1.A,-6.0025381664,0.5790541316,30.7847080231,0.879195
A0PJX0,,185,SWISSMODEL,10,182,1y1a.2.A,-1.604773707,0.7104848507,45.0867042542,0.92973
A0PJX2,,215,SWISSMODEL,51,214,4acj.1.A,-0.8391413600000001,0.7428659464,53.0487823486,0.75814
A0PJY2,A0PJY2-1,475,SWISSMODEL,255,425,5wjq.1.C,-2.9508264893,0.6497635372,40.93567276,0.357895
A0PK00,,339,SWISSMODEL,3,330,7f3u.1.A,-2.2893088563,0.6834781215,70.1183395386,0.964602
A1A4Y4,,181,SWISSMODEL,3,179,7c3k.2.A,-1.3224248221,0.7235387307000001,37.8531074524,0.972376
A1A5B4,A1A5B4-1,782,SWISSMODEL,27,742,6qp6.1.A,-2.9221118401,0.6613379759,35.434173584,0.914322
A1A5D9,A1A5D9-1,508,SWISSMODEL,53,287,6f1t.1.U,2.8309273019,0.8933973274,34.2960281372,0.46063
A1KZ92,A1KZ92-1,1463,SWISSMODEL,708,1298,5mfa.1.A,-3.5732046287,0.6357620860000001,37.9615936279,0.403281
A1L0T0,,632,SWISSMODEL,50,627,7ayg.1.A,-3.1359417443,0.6538566186,27.5092945099,0.912975
A1L157,,253,SWISSMODEL,7,251,6wvg.1.A,-5.6174396952,0.5433067645,27.102804184,0.964427
A1L167,,161,SWISSMODEL,1,147,2qgx.2.A,-1.2048303336,0.7210276408,56.2913894653,0.906832
A1L168,,122,SWISSMODEL,30,81,1x4t.1.A,-2.0373239734,0.5510938244,26.9230766296,0.418033
A1L188,,74,SWISSMODEL,19,69,6i3v.1.D,-1.6682492015000001,0.6137007358000001,25.490196228,0.675676
A1L190,,88,SWISSMODEL,11,86,5djn.1.A,-4.0497173143,0.5820904865000001,26.6666660309,0.852273
A1L453,,326,SWISSMODEL,50,295,7meq.1.A,-2.4765629617,0.6740903214,37.5510215759,0.751534
A2A288,A2A288-1,527,SWISSMODEL,87,277,7ndj.2.A,1.228012194,0.8302511964,70.6806259155,0.360531
A2A2V5,,107,SWISSMODEL,33,79,2ndj.1.A,-1.8345119756,0.5789331071,25.5319156647,0.429907
A2A2Y4,A2A2Y4-1,597,SWISSMODEL,32,347,6qly.1.A,-3.3300463467,0.6536129810000001,27.5641021729,0.527638
A2A368,,324,SWISSMODEL,99,315,2wa0.1.A,-0.7527513645,0.7492891499000001,51.8018035889,0.666667
A2A3L6,,582,SWISSMODEL,31,398,6hc2.3.C,-4.3549773103,0.6180567880000001,30.303030014,0.630584
A2CJ06,,578,SWISSMODEL,5,221,1eg3.1.A,-2.8783161380999998,0.664216476,31.100479126,0.373702
A2PYH4,A2PYH4-1,1435,SWISSMODEL,164,1092,4f92.1.A,-4.994762518,0.5888212699,27.3768615723,0.64669
A2RRD8,,509,SWISSMODEL,158,464,5wjq.1.C,-4.1960749431,0.6219217313000001,53.0249099731,0.601179
A2RTX5,A2RTX5-1,802,SWISSMODEL,162,798,1qf6.1.B,-0.9108247953,0.7317077264,38.2306480408,0.793017
A2RUU4,,121,SWISSMODEL,30,110,1n8s.1.B,-4.0612413215,0.5306061378,31.764705658,0.661157
A2VDF0,A2VDF0-1,154,SWISSMODEL,1,149,2wcu.1.A,-0.5342200432,0.7555743945000001,81.2080535889,0.961039
A4D1E9,A4D1E9-1,387,SWISSMODEL,11,348,7o9k.19.A,-3.5759647242,0.6505756167,42.2442245483,0.870801
A4D1F6,A4D1F6-1,860,SWISSMODEL,143,734,5gmh.1.A,-5.0495571248,0.5839383266,25.3424663544,0.687209
A4D1S5,A4D1S5-1,217,SWISSMODEL,11,207,3gj7.1.A,-4.0495151422,0.6192236416,30.7692298889,0.903226
A4D1T9,,235,SWISSMODEL,16,234,1co7.1.A,-4.7351160696,0.5902194341,32.8767127991,0.92766
A4FU01,A4FU01-1,709,SWISSMODEL,41,645,1lw3.1.A,-6.3851100208,0.5401765938,27.5100402832,0.851904
A4GXA9,A4GXA9-1,379,SWISSMODEL,57,375,4p0q.1.B,-4.7523652156,0.6026446532,37.1517028809,0.83905
A5A3E0,,1075,SWISSMODEL,701,1075,6anu.1.E,-2.5374779835,0.6812740054,91.4666671753,0.347907
A5D8T8,A5D8T8-1,446,SWISSMODEL,43,264,1xx5.3.A,-4.2059794296,0.6100996549000001,27.0531406403,0.495516
A5LHX3,,300,SWISSMODEL,50,250,7drw.1.c,-1.0468758985,0.7376663219,48.4000015259,0.666667
A5X5Y0,A5X5Y0-1,456,SWISSMODEL,43,455,6w1j.1.A,-4.5062608182,0.6059126855,38.1995124817,0.903509
A6NCE7,,125,SWISSMODEL,1,122,2zjd.2.A,0.5403214859000001,0.8127723746000001,99.1999969482,0.968
A6NCF5,,533,SWISSMODEL,208,516,3ade.1.A,-3.5617571014,0.6444869453000001,26.3698635101,0.577861
A6NCL7,,494,SWISSMODEL,53,243,5w7i.1.A,-0.3489550107,0.7662337246,29.100528717,0.384615
A6ND91,A6ND91-1,283,SWISSMODEL,7,273,1h2h.1.B,-4.0427894171,0.6318279815,25.0,0.939929
A6NDA9,A6NDA9-1,550,SWISSMODEL,22,344,3zyi.1.A,-5.3910941893,0.5814775758,25.7763977051,0.585455
A6NDG6,,321,SWISSMODEL,17,319,4bkm.2.A,0.8444344732,0.7931197249,64.3097610474,0.94081
A6NED2,,376,SWISSMODEL,8,371,3kci.1.A,-5.5852079701,0.5745882653000001,25.287355423,0.965426
A6NFH5,,140,SWISSMODEL,1,133,4azm.1.B,-0.8128806863,0.7386143437,50.3759384155,0.942857
A6NFQ7,,191,SWISSMODEL,16,88,6u82.1.A,-1.2984423368,0.7129067329000001,31.8840579987,0.376963
A6NFU8,A6NFU8-1,196,SWISSMODEL,4,174,1ioi.1.A,-3.9398339112,0.6257305033,28.571428299,0.867347
A6NFX1,,504,SWISSMODEL,39,483,7mjs.1.C,-5.6625564106,0.5807103941,42.8256072998,0.880952
A6NFY7,,115,SWISSMODEL,5,68,6uxe.1.F,-0.4606517955,0.7599398462,30.645160675,0.547826
A6NGE7,,173,SWISSMODEL,2,166,2o70.1.A,-1.1082195851,0.7370923068,52.0710067749,0.947977
A6NGH8,,418,SWISSMODEL,1,370,6mol.1.A,-4.1859493896,0.6244489513,26.7241382599,0.882775
A6NGQ2,,149,SWISSMODEL,26,125,3v69.1.A,-2.4860126855,0.6613876888,29.7029705048,0.66443
A6NH11,,291,SWISSMODEL,80,291,4kbr.1.A,-1.3488669593,0.7261439372,36.3207550049,0.725086
A6NH21,A6NH21-1,518,SWISSMODEL,52,492,6sp2.1.A,-6.5006867263,0.5361328627,32.6388893127,0.849421
A6NH57,,179,SWISSMODEL,2,177,1zj6.1.A,-1.8921441947000002,0.6977489758000001,64.4067764282,0.977654
A6NHG4,,134,SWISSMODEL,2,116,4q3f.2.C,-2.1845377029,0.6984495235,82.6086959839,0.850746
A6NHJ4,,632,SWISSMODEL,227,533,5wjq.1.C,-3.9775843013000003,0.6299730772000001,49.822063446,0.484177
